Fecha;Hora;name;stationId;Presion Baro;Rad Solar;Lluvia;Humedad;Vel Viento;Temperatura 8M;Temperatura;Dir Viento
2026-01-06;13:38;Centro de Alto Rendimiento;5;564.0;93.0;0.0;73.0;3.9;;15.7;299.0
2026-01-06;13:38;Las Ferias;6;563.0;;0.0;67.0;4.4;;15.9;213.0
2026-01-06;13:38;Guaymaral;8;563.0;150.0;0.0;68.0;3.0;15.5;16.0;259.0
2026-01-06;13:38;Kennedy;9;;265.0;0.0;75.4;3.5;;;291.0
2026-01-06;13:38;Suba;11;;;0.0;;2.7;;16.5;237.0
2026-01-06;13:38;Puente Aranda;13;563.0;170.0;0.0;86.0;3.1;;15.1;260.0
2026-01-06;13:38;MinAmbiente;17;;;0.6;;-9999.0;;;-9999.0
2026-01-06;13:38;San Cristobal;24;;17.0;3.0;81.0;0.2;;13.6;199.0
2026-01-06;13:38;Movil 7ma;26;562.0;38.0;1.3;65.8;0.9;;16.0;300.0
2026-01-06;13:38;Bolivia;27;564.0;438.0;0.0;81.0;3.6;;15.2;277.0
2026-01-06;13:38;Fontibon;30;564.0;;0.0;81.0;6.8;;14.6;252.0
2026-01-06;13:38;Usme;32;561.0;36.0;1.4;;;;14.9;
2026-01-06;13:38;Jazmin;34;563.0;160.0;0.0;81.0;3.1;;15.6;282.0
2026-01-06;13:38;Ciudad Bolivar;37;557.0;224.0;0.0;;;;14.3;
2026-01-06;13:38;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;13:38;Movil Fontibon;39;564.0;383.0;;;;;15.0;
2026-01-06;14:20;Usaquen;1;;;3.6;;2.1;;13.1;136
2026-01-06;14:20;Carvajal - Sevillana;3;;;0;;1.6;;11.9;243
2026-01-06;14:20;Tunal;4;562;80;0;66;1.8;;;248
2026-01-06;14:20;Centro de Alto Rendimiento;5;564;78;0;71;3.6;;15.8;289
2026-01-06;14:20;Las Ferias;6;563;;0;66;3.4;;16.3;217
2026-01-06;14:20;Guaymaral;8;563;39;3.9;70;1.6;14.8;15.3;222
2026-01-06;14:20;Kennedy;9;;265;0;72.2;3.3;;;275
2026-01-06;14:20;Suba;11;;;0;;2.4;;16.6;227
2026-01-06;14:20;Puente Aranda;13;562;136;0;85;3;;15.3;242
2026-01-06;14:20;MinAmbiente;17;;;0.5;;-9999;;;-9999
2026-01-06;14:20;San Cristobal;24;;31;0.2;88;0.4;;12.5;83
2026-01-06;14:20;Movil 7ma;26;561;37;0.3;70.1;0.9;;14.9;283
2026-01-06;14:20;Bolivia;27;564;316;0;79;2.9;;15.6;244
2026-01-06;14:20;Fontibon;30;563;;0;80;6;;14.9;249
2026-01-06;14:20;Usme;32;561;85;1;;;;14.2;
2026-01-06;14:20;Jazmin;34;563;105;0;77;2.3;;15.8;263
2026-01-06;14:20;Ciudad Bolivar;37;556;161;0;;;;14.3;
2026-01-06;14:20;Colina;38;563;93;0;;1.8;;16.5;169
2026-01-06;14:20;Movil Fontibon;39;564;410;;;;;15.5;
