Fecha;Hora;name;stationId;Lluvia;Temperatura;Vel Viento;Presion Baro;Temperatura 8M;Dir Viento;Humedad;Rad Solar
2025-10-06;05:25;Puente Aranda;13;0.0;11.3;0.9;563.0;;202.0;79.0;0.0
2025-10-06;05:25;MinAmbiente;17;0.0;;-9999.0;;;-9999.0;;
2025-10-06;05:25;San Cristobal;24;0.0;8.1;1.6;;;114.0;80.0;0.0
2025-10-06;05:25;Movil 7ma;26;0.0;10.7;0.1;562.0;;119.0;66.1;0.0
2025-10-06;05:25;Bolivia;27;0.0;10.0;1.0;564.0;;26.0;90.0;0.0
2025-10-06;05:25;Fontibon;30;0.0;10.0;0.1;564.0;;28.0;90.0;
2025-10-06;05:25;Usme;32;0.0;8.3;;562.0;;;;0.0
2025-10-06;05:25;Jazmin;34;0.0;10.8;0.6;563.0;;212.0;79.0;0.0
2025-10-06;05:25;Ciudad Bolivar;37;0.0;10.0;;557.0;;;;0.0
2025-10-06;05:25;Colina;38;0.0;9.0;0.5;563.0;;314.0;;0.0
2025-10-06;05:25;Movil Fontibon;39;;10.6;;564.0;;;;0.0
2025-10-06;06:18;Usaquen;1;0;8.5;0.3;;;110;;
2025-10-06;06:18;Carvajal - Sevillana;3;0;10;1.7;;;249;;
2025-10-06;06:18;Tunal;4;0;;0.6;563;;222;78;6
2025-10-06;06:18;Centro de Alto Rendimiento;5;0;6.3;0.3;565;;8;88;4
2025-10-06;06:18;Las Ferias;6;0;9.1;0.9;564;;347;82;
2025-10-06;06:18;Guaymaral;8;0;6.8;0.5;564;7;318;85;0
2025-10-06;06:18;Kennedy;9;0;;0.5;;;209;80.7;4
2025-10-06;06:18;Suba;11;0;7.6;1.5;;;19;;
2025-10-06;06:18;Puente Aranda;13;0;11.4;0.5;563;;204;79;4
2025-10-06;06:18;MinAmbiente;17;0;;-9999;;;-9999;;
2025-10-06;06:18;San Cristobal;24;0;8.2;1.5;;;102;79;2
2025-10-06;06:18;Movil 7ma;26;0;10.6;0.3;562;;89;66.1;2
2025-10-06;06:18;Bolivia;27;0;9.4;1.8;565;;54;91;6
2025-10-06;06:18;Fontibon;30;0;9.7;0.5;564;;348;90;
2025-10-06;06:18;Usme;32;0;8.5;;562;;;;4
2025-10-06;06:18;Jazmin;34;0;10.9;0.5;564;;167;80;6
2025-10-06;06:18;Ciudad Bolivar;37;0;9.7;;557;;;;2
2025-10-06;06:18;Colina;38;0;9;0.8;564;;332;;4
2025-10-06;06:18;Movil Fontibon;39;;10.5;;564;;;;5
