Fecha;Hora;name;stationId;Lluvia;Rad Solar;Vel Viento;Presion Baro;Dir Viento;Temperatura;Humedad;Temperatura 8M
2026-01-12;09:30;Kennedy;9;0.0;225.0;1.1;;191.0;;68.7;
2026-01-12;09:30;Suba;11;0.0;;2.1;;16.0;13.4;;
2026-01-12;09:30;Puente Aranda;13;0.0;224.0;1.1;564.0;278.0;15.2;71.0;
2026-01-12;09:30;MinAmbiente;17;0.0;;-9999.0;;-9999.0;;;
2026-01-12;09:30;San Cristobal;24;0.0;186.0;0.8;;149.0;14.1;64.0;
2026-01-12;09:30;Movil 7ma;26;0.0;202.0;0.5;563.0;6.0;15.3;56.2;
2026-01-12;09:30;Bolivia;27;0.0;188.0;1.9;565.0;57.0;13.7;82.0;
2026-01-12;09:30;Fontibon;30;0.0;;2.2;565.0;73.0;14.8;67.0;
2026-01-12;09:30;Usme;32;0.0;201.0;;563.0;;14.2;;
2026-01-12;09:30;Jazmin;34;0.0;408.0;1.3;564.0;172.0;15.8;63.0;
2026-01-12;09:30;Ciudad Bolivar;37;0.0;343.0;;558.0;;13.9;;
2026-01-12;09:30;Colina;38;0.0;93.0;1.8;563.0;169.0;16.5;;
2026-01-12;09:30;Movil Fontibon;39;;242.0;;565.0;;15.1;;
2026-01-12;10:31;Usaquen;1;0;;1.3;;209;15.8;;
2026-01-12;10:31;Carvajal - Sevillana;3;0;;1.6;;243;11.9;;
2026-01-12;10:31;Tunal;4;0;297;1.4;564;201;;57;
2026-01-12;10:31;Centro de Alto Rendimiento;5;0;248;2.1;565;98;17.1;57;
2026-01-12;10:31;Las Ferias;6;0;;2.9;564;59;17.6;52;
2026-01-12;10:31;Guaymaral;8;0;88;1.2;564;337;15.7;62;15
2026-01-12;10:31;Kennedy;9;0;232;1.4;;195;;55.6;
2026-01-12;10:31;Suba;11;0;;2.2;;9;15.2;;
2026-01-12;10:31;Puente Aranda;13;0;250;1.3;564;222;16.1;65;
2026-01-12;10:31;MinAmbiente;17;0;;-9999;;-9999;;;
2026-01-12;10:31;San Cristobal;24;0;309;1.5;;137;15.7;58;
2026-01-12;10:31;Movil 7ma;26;0;234;0.5;563;315;17;51;
2026-01-12;10:31;Bolivia;27;0;421;1.8;565;82;15.1;74;
2026-01-12;10:31;Fontibon;30;0;;2.7;565;72;15.8;61;
2026-01-12;10:31;Usme;32;0;333;;563;;15.1;;
2026-01-12;10:31;Jazmin;34;0;389;2;564;140;16.6;58;
2026-01-12;10:31;Ciudad Bolivar;37;0;421;;558;;15;;
2026-01-12;10:31;Colina;38;0;93;1.8;563;169;16.5;;
2026-01-12;10:31;Movil Fontibon;39;;243;;565;;16.2;;
