Fecha;Hora;name;stationId;NO2;PM10;BBP;CO;NOX;PM25;NO;eBC;SO2;OZONO
2025-12-05;05:27;Ciudad Bolivar;37;30.7;50.3;10.8;0.28;73.1;24.2;42.4;6.2;1.1;1.8
2025-12-05;05:27;Colina;38;62.8;2.4;;0.7;86.3;8.0;23.5;;0.4;-9999.0
2025-12-05;05:27;Movil Fontibon;39;-9999.0;25.6;;-9999.0;-9999.0;27.9;-9999.0;;;
2025-12-05;06:23;Usaquen;1;-9999.0;35.3;;-9999.0;-9999.0;4.8;-9999.0;;-9999.0;-9999.0
2025-12-05;06:23;Carvajal - Sevillana;3;;30.0;;1.75;;7.0;;;0.9;
2025-12-05;06:23;Tunal;4;16.7;43.0;7.0;-9999.0;76.7;0.0;59.9;10.7;2.1;1.1
2025-12-05;06:23;Centro de Alto Rendimiento;5;15.2;28.6;9.2;0.3;22.1;16.0;6.9;4.4;0.6;-9999.0
2025-12-05;06:23;Las Ferias;6;28.4;13.3;;0.56;67.0;18.0;38.3;;;0.7
2025-12-05;06:23;Guaymaral;8;15.2;17.0;;0.22;15.5;7.0;0.4;;1.1;2.5
2025-12-05;06:23;Kennedy;9;24.7;24.0;13.7;0.93;57.6;18.4;32.9;5.6;0.9;0.0
2025-12-05;06:23;Suba;11;16.1;19.1;;0.33;21.4;985.0;5.4;;0.5;1.5
2025-12-05;06:23;Puente Aranda;13;21.3;28.3;0.1;0.48;61.2;13.2;39.9;-9999.0;1.9;0.9
2025-12-05;06:23;MinAmbiente;17;16.4;27.0;;0.9;38.9;17.0;22.6;;1.0;0.7
2025-12-05;06:23;San Cristobal;24;-9999.0;25.0;1.2;0.49;-9999.0;13.0;-9999.0;2.3;0.6;0.2
2025-12-05;06:23;Movil 7ma;26;;28.7;;-9999.0;;16.9;;;;
2025-12-05;06:23;Bolivia;27;27.5;23.2;;0.36;57.7;15.6;30.1;;;0.9
2025-12-05;06:23;Fontibon;30;21.6;-9999.0;5.6;0.53;39.0;13.0;17.4;4.3;-9999.0;1.2
2025-12-05;06:23;Usme;32;30.1;18.0;;0.85;150.8;15.5;120.7;;1.9;0.7
2025-12-05;06:23;Jazmin;34;23.7;25.9;;0.61;50.8;17.3;27.1;;1.3;0.2
2025-12-05;06:23;Ciudad Bolivar;37;34.7;42.6;9.5;0.49;97.3;28.6;62.6;6.6;1.2;0.5
2025-12-05;06:23;Colina;38;62.8;2.4;;0.7;86.3;8.0;23.5;;0.4;-9999.0
2025-12-05;06:23;Movil Fontibon;39;-9999.0;33.2;;-9999.0;-9999.0;19.7;-9999.0;;;
2025-12-05;07:51;Usaquen;1;-9999.0;35.2;;-9999.0;-9999.0;8.7;-9999.0;;-9999.0;-9999.0
2025-12-05;07:51;Carvajal - Sevillana;3;;44.0;;1.65;;22.0;;;1.2;
2025-12-05;07:51;Tunal;4;18.4;47.0;2.2;-9999.0;103.2;0.0;84.8;15.0;3.3;1.4
2025-12-05;07:51;Centro de Alto Rendimiento;5;16.4;20.9;3.9;0.61;36.5;11.9;20.0;7.3;0.6;-9999.0
2025-12-05;07:51;Las Ferias;6;21.1;10.4;;0.72;52.9;18.0;31.8;;;1.7
2025-12-05;07:51;Guaymaral;8;19.3;25.0;;0.54;63.5;15.0;44.2;;2.0;1.4
2025-12-05;07:51;Kennedy;9;24.5;16.9;6.9;1.19;65.9;17.6;41.3;5.2;1.0;0.1
2025-12-05;07:51;Suba;11;16.1;13.5;;0.51;33.3;985.0;17.2;;0.8;1.4
2025-12-05;07:51;Puente Aranda;13;24.0;28.2;0.1;0.96;87.8;10.9;65.4;-9999.0;2.1;1.2
2025-12-05;07:51;MinAmbiente;17;10.8;23.0;;1.06;49.0;16.0;38.2;;1.1;0.8
2025-12-05;07:51;San Cristobal;24;-9999.0;27.0;1.5;0.69;-9999.0;12.0;-9999.0;2.5;0.6;0.2
2025-12-05;07:51;Movil 7ma;26;;25.1;;-9999.0;;15.4;;;;
2025-12-05;07:51;Bolivia;27;27.0;27.1;;0.36;59.7;11.5;32.7;;;1.7
2025-12-05;07:51;Fontibon;30;25.8;-9999.0;7.8;0.65;50.5;14.0;24.8;4.7;-9999.0;1.7
2025-12-05;07:51;Usme;32;29.6;25.2;;0.98;101.2;19.9;71.6;;2.8;0.9
