Fecha;Hora;name;stationId;Humedad;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M;Dir Viento;Temperatura
2026-01-05;06:24;Usme;32;;;0.0;562.0;0.0;;;12.8
2026-01-05;06:24;Jazmin;34;90.0;0.3;0.0;564.0;0.0;;318.0;13.0
2026-01-05;06:24;Ciudad Bolivar;37;;;0.0;557.0;0.0;;;12.1
2026-01-05;06:24;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;06:24;Movil Fontibon;39;;;1.0;565.0;;;;12.5
2026-01-05;07:57;Usaquen;1;;0.6;;;0.0;;347.0;12.6
2026-01-05;07:57;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;07:57;Tunal;4;79.0;0.8;32.0;563.0;0.0;;293.0;
2026-01-05;07:57;Centro de Alto Rendimiento;5;90.0;0.9;25.0;565.0;0.0;;297.0;11.1
2026-01-05;07:57;Las Ferias;6;76.0;0.1;;564.0;0.0;;3.0;12.6
2026-01-05;07:57;Guaymaral;8;82.0;0.6;0.0;564.0;0.0;11.6;296.0;11.8
2026-01-05;07:57;Kennedy;9;84.6;0.5;22.0;;0.0;;339.0;
2026-01-05;07:57;Suba;11;;0.5;;;0.0;;352.0;10.5
2026-01-05;07:57;Puente Aranda;13;90.0;0.7;28.0;564.0;0.0;;270.0;13.4
2026-01-05;07:57;MinAmbiente;17;;-9999.0;;;0.0;;-9999.0;
2026-01-05;07:57;San Cristobal;24;80.0;0.5;12.0;;0.0;;100.0;11.2
2026-01-05;07:57;Movil 7ma;26;68.9;0.3;24.0;562.0;0.0;;316.0;13.0
2026-01-05;07:57;Bolivia;27;92.0;0.3;25.0;565.0;0.0;;267.0;11.8
2026-01-05;07:57;Fontibon;30;88.0;0.1;;565.0;0.0;;8.0;12.4
2026-01-05;07:57;Usme;32;;;25.0;562.0;0.0;;;12.8
2026-01-05;07:57;Jazmin;34;87.0;0.6;35.0;564.0;0.0;;287.0;13.4
2026-01-05;07:57;Ciudad Bolivar;37;;;23.0;558.0;0.0;;;12.2
2026-01-05;07:57;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;07:57;Movil Fontibon;39;;;32.0;565.0;;;;12.9
2026-01-05;08:46;Usaquen;1;;0.7;;;0.0;;6.0;13.8
2026-01-05;08:46;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;08:46;Tunal;4;73.0;0.7;216.0;564.0;0.0;;206.0;
2026-01-05;08:46;Centro de Alto Rendimiento;5;79.0;0.2;197.0;565.0;0.0;;268.0;15.5
2026-01-05;08:46;Las Ferias;6;69.0;0.8;;564.0;0.0;;17.0;14.4
2026-01-05;08:46;Guaymaral;8;78.0;1.0;56.0;564.0;0.0;13.2;339.0;13.7
2026-01-05;08:46;Kennedy;9;83.7;0.5;69.0;;0.0;;329.0;
2026-01-05;08:46;Suba;11;;0.9;;;0.0;;5.0;12.1
2026-01-05;08:46;Puente Aranda;13;82.0;0.7;160.0;564.0;0.0;;245.0;14.9
2026-01-05;08:46;MinAmbiente;17;;-9999.0;;;0.0;;-9999.0;
2026-01-05;08:46;San Cristobal;24;79.0;0.1;59.0;;0.0;;110.0;12.3
2026-01-05;08:46;Movil 7ma;26;65.8;0.4;156.0;563.0;0.0;;258.0;14.5
2026-01-05;08:46;Bolivia;27;84.0;0.8;259.0;565.0;0.0;;343.0;13.6
2026-01-05;08:46;Fontibon;30;77.0;0.4;;565.0;0.0;;43.0;15.4
2026-01-05;08:46;Usme;32;;;231.0;563.0;0.0;;;14.4
2026-01-05;08:46;Jazmin;34;76.0;0.5;284.0;564.0;0.0;;207.0;15.6
