Fecha;Hora;name;stationId;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M;Dir Viento;Temperatura;Humedad
2025-10-27;05:27;Tunal;4;0.6;1.0;562.0;0.0;;212.0;;79.0
2025-10-27;05:27;Centro de Alto Rendimiento;5;0.5;0.0;564.0;0.0;;319.0;8.4;88.0
2025-10-27;05:27;Las Ferias;6;0.8;;563.0;0.0;;332.0;11.5;79.0
2025-10-27;05:27;Guaymaral;8;0.4;0.0;563.0;0.0;9.1;256.0;9.0;84.0
2025-10-27;05:27;Kennedy;9;0.6;0.0;;0.0;;184.0;;78.5
2025-10-27;05:27;Suba;11;1.1;;;0.0;;35.0;10.5;
2025-10-27;05:27;Puente Aranda;13;1.1;0.0;562.0;0.0;;213.0;13.2;80.0
2025-10-27;05:27;MinAmbiente;17;-9999.0;;;0.0;;-9999.0;;
2025-10-27;05:27;San Cristobal;24;1.8;0.0;;0.0;;110.0;9.8;79.0
2025-10-27;05:27;Movil 7ma;26;0.3;0.0;561.0;0.0;;80.0;12.4;67.0
2025-10-27;05:27;Bolivia;27;2.3;462.0;565.0;0.0;;261.0;17.7;72.0
2025-10-27;05:27;Fontibon;30;0.7;;563.0;0.0;;35.0;12.1;87.0
2025-10-27;05:27;Usme;32;;0.0;561.0;0.0;;;11.3;
2025-10-27;05:27;Jazmin;34;0.4;0.0;563.0;0.0;;265.0;12.6;82.0
2025-10-27;05:27;Ciudad Bolivar;37;;0.0;556.0;0.0;;;11.7;
2025-10-27;05:27;Colina;38;0.9;53.0;562.0;0.3;;271.0;14.8;
2025-10-27;05:27;Movil Fontibon;39;;0.0;563.0;;;;12.7;
2025-10-27;06:20;Usaquen;1;0.5;;;0.0;;113.0;10.3;
2025-10-27;06:20;Carvajal - Sevillana;3;1.6;;;0.0;;243.0;11.8;
2025-10-27;06:20;Tunal;4;0.4;6.0;562.0;0.0;;223.0;;78.0
2025-10-27;06:20;Centro de Alto Rendimiento;5;0.3;4.0;564.0;0.0;;266.0;8.0;88.0
2025-10-27;06:20;Las Ferias;6;1.3;;563.0;0.0;;4.0;11.3;81.0
2025-10-27;06:20;Guaymaral;8;0.4;0.0;563.0;0.0;9.2;279.0;8.8;85.0
2025-10-27;06:20;Kennedy;9;0.4;3.0;;0.0;;166.0;;79.8
2025-10-27;06:20;Suba;11;1.1;;;0.0;;50.0;10.2;
2025-10-27;06:20;Puente Aranda;13;0.9;4.0;563.0;0.0;;271.0;13.4;80.0
2025-10-27;06:20;MinAmbiente;17;-9999.0;;;0.0;;-9999.0;;
2025-10-27;06:20;San Cristobal;24;1.8;2.0;;0.0;;107.0;9.7;79.0
2025-10-27;06:20;Movil 7ma;26;0.1;2.0;561.0;0.0;;110.0;12.3;68.1
2025-10-27;06:20;Bolivia;27;2.3;462.0;565.0;0.0;;261.0;17.7;72.0
2025-10-27;06:20;Fontibon;30;1.4;;563.0;0.0;;54.0;11.7;89.0
2025-10-27;06:20;Usme;32;;4.0;561.0;0.0;;;11.3;
2025-10-27;06:20;Jazmin;34;0.4;5.0;563.0;0.0;;345.0;12.3;84.0
2025-10-27;06:20;Ciudad Bolivar;37;;2.0;557.0;0.0;;;11.4;
2025-10-27;06:20;Colina;38;0.9;53.0;562.0;0.3;;271.0;14.8;
2025-10-27;06:20;Movil Fontibon;39;;5.0;564.0;;;;12.7;
2025-10-27;07:51;Usaquen;1;0.7;;;0.0;;121.0;11.6;
2025-10-27;07:51;Carvajal - Sevillana;3;1.4;;;0.0;;258.0;13.5;
2025-10-27;07:51;Tunal;4;0.6;130.0;563.0;0.0;;230.0;;77.0
2025-10-27;07:51;Centro de Alto Rendimiento;5;1.1;91.0;565.0;0.0;;37.0;9.7;88.0
2025-10-27;07:51;Las Ferias;6;1.7;;564.0;0.0;;10.0;13.4;73.0
2025-10-27;07:51;Guaymaral;8;0.9;44.0;564.0;0.0;11.7;286.0;11.3;87.0
2025-10-27;07:51;Kennedy;9;0.6;67.0;;0.0;;282.0;;82.7
2025-10-27;07:51;Suba;11;1.5;;;0.0;;35.0;10.9;
2025-10-27;07:51;Puente Aranda;13;1.3;90.0;563.0;0.0;;23.0;13.8;87.0
2025-10-27;07:51;MinAmbiente;17;-9999.0;;;0.0;;-9999.0;;
2025-10-27;07:51;San Cristobal;24;1.0;61.0;;0.0;;100.0;10.7;77.0
2025-10-27;07:51;Movil 7ma;26;0.2;60.0;562.0;0.0;;121.0;12.8;68.2
