Fecha;Hora;name;stationId;Presion Baro;Dir Viento;Vel Viento;Humedad;Temperatura 8M;Rad Solar;Lluvia;Temperatura
2025-10-01;06:19;Carvajal - Sevillana;3;;240.0;3.0;;;;0.0;13.0
2025-10-01;06:19;Tunal;4;564.0;166.0;1.1;79.0;;3.0;0.0;
2025-10-01;06:19;Centro de Alto Rendimiento;5;566.0;319.0;0.5;87.0;;2.0;0.0;8.8
2025-10-01;06:19;Las Ferias;6;565.0;;;70.0;;;0.0;12.5
2025-10-01;06:19;Guaymaral;8;565.0;103.0;1.2;81.0;11.3;0.0;0.0;11.1
2025-10-01;06:19;Kennedy;9;;117.0;0.9;80.4;;2.0;0.0;
2025-10-01;06:19;Suba;11;;36.0;1.8;;;;0.0;10.6
2025-10-01;06:19;Puente Aranda;13;565.0;267.0;0.8;83.0;;2.0;0.0;13.4
2025-10-01;06:19;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;06:19;San Cristobal;24;;96.0;0.4;80.0;;0.0;0.0;10.7
2025-10-01;06:19;Movil 7ma;26;563.0;210.0;0.1;66.8;;1.0;0.0;12.6
2025-10-01;06:19;Bolivia;27;566.0;25.0;2.0;88.0;;2.0;0.0;11.6
2025-10-01;06:19;Fontibon;30;565.0;338.0;1.2;88.0;;;0.0;11.4
2025-10-01;06:19;Usme;32;563.0;;;;;2.0;0.0;12.8
2025-10-01;06:19;Jazmin;34;565.0;242.0;0.6;82.0;;2.0;0.0;12.8
2025-10-01;06:19;Ciudad Bolivar;37;558.0;;;;;0.0;0.0;12.3
2025-10-01;06:19;Colina;38;565.0;96.0;1.1;;;2.0;0.0;12.3
2025-10-01;06:19;Movil Fontibon;39;566.0;;;;;3.0;;12.1
2025-10-01;07:50;Usaquen;1;;80.0;0.2;;;;0.0;12.1
2025-10-01;07:50;Carvajal - Sevillana;3;;245.0;2.6;;;;0.0;13.7
2025-10-01;07:50;Tunal;4;565.0;178.0;0.9;77.0;;51.0;0.0;
2025-10-01;07:50;Centro de Alto Rendimiento;5;566.0;309.0;0.3;86.0;;53.0;0.0;10.3
2025-10-01;07:50;Las Ferias;6;565.0;;;68.0;;;0.0;13.4
2025-10-01;07:50;Guaymaral;8;565.0;79.0;1.1;78.0;12.5;16.0;0.0;12.5
2025-10-01;07:50;Kennedy;9;;89.0;0.9;82.8;;47.0;0.0;
2025-10-01;07:50;Suba;11;;18.0;1.6;;;;0.0;11.5
2025-10-01;07:50;Puente Aranda;13;565.0;326.0;0.8;83.0;;58.0;0.0;13.8
2025-10-01;07:50;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;07:50;San Cristobal;24;;83.0;1.0;77.0;;44.0;0.0;11.6
2025-10-01;07:50;Movil 7ma;26;564.0;211.0;0.0;68.3;;50.0;0.0;13.1
2025-10-01;07:50;Bolivia;27;566.0;359.0;1.1;87.0;;66.0;0.0;12.1
