Fecha;Hora;name;stationId;Presion Baro;Dir Viento;Vel Viento;Humedad;Temperatura 8M;Rad Solar;Lluvia;Temperatura
2025-10-01;12:19;San Cristobal;24;;115.0;1.5;57.0;;388.0;0.0;16.6
2025-10-01;12:19;Movil 7ma;26;563.0;212.0;0.8;46.9;;231.0;0.0;18.8
2025-10-01;12:19;Bolivia;27;566.0;118.0;2.6;66.0;;396.0;0.0;17.2
2025-10-01;12:19;Fontibon;30;565.0;139.0;3.2;52.0;;;0.0;17.6
2025-10-01;12:19;Usme;32;563.0;;;;;604.0;0.0;16.9
2025-10-01;12:19;Jazmin;34;565.0;145.0;2.9;53.0;;881.0;0.0;18.1
2025-10-01;12:19;Ciudad Bolivar;37;559.0;;;;;384.0;0.0;15.7
2025-10-01;12:19;Colina;38;565.0;139.0;1.9;;;271.0;0.0;17.3
2025-10-01;12:19;Movil Fontibon;39;566.0;;;;;443.0;;18.5
2025-10-01;13:33;Usaquen;1;;209.0;2.1;;;;0.0;18.2
2025-10-01;13:33;Carvajal - Sevillana;3;;276.0;5.1;;;;0.0;18.5
2025-10-01;13:33;Tunal;4;564.0;182.0;1.9;45.0;;830.0;0.0;
2025-10-01;13:33;Centro de Alto Rendimiento;5;566.0;159.0;2.1;50.0;;349.0;0.0;16.8
2025-10-01;13:33;Las Ferias;6;565.0;;;48.0;;;0.0;19.4
2025-10-01;13:33;Guaymaral;8;564.0;76.0;2.3;51.0;17.7;227.0;0.0;18.8
2025-10-01;13:33;Kennedy;9;;205.0;3.2;49.5;;494.0;0.0;
2025-10-01;13:33;Suba;11;;94.0;2.3;;;;0.0;18.9
2025-10-01;13:33;Puente Aranda;13;564.0;170.0;3.3;55.0;;420.0;0.0;17.8
2025-10-01;13:33;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;13:33;San Cristobal;24;;151.0;1.2;52.0;;573.0;0.0;18.0
2025-10-01;13:33;Movil 7ma;26;563.0;228.0;1.8;46.8;;316.0;0.0;18.7
2025-10-01;13:33;Bolivia;27;565.0;135.0;2.6;63.0;;609.0;0.0;17.9
2025-10-01;13:33;Fontibon;30;565.0;161.0;3.7;51.0;;;0.0;17.8
2025-10-01;13:33;Usme;32;563.0;;;;;704.0;0.0;17.7
2025-10-01;13:33;Jazmin;34;565.0;139.0;2.9;50.0;;1239.0;0.0;19.2
2025-10-01;13:33;Ciudad Bolivar;37;558.0;;;;;536.0;0.0;16.6
2025-10-01;13:33;Colina;38;565.0;166.0;1.8;;;428.0;0.0;18.4
2025-10-01;13:33;Movil Fontibon;39;565.0;;;;;405.0;;18.8
2025-10-01;14:18;Usaquen;1;;114.0;2.8;;;;0.0;15.6
2025-10-01;14:18;Carvajal - Sevillana;3;;262.0;4.7;;;;0.0;19.1
2025-10-01;14:18;Tunal;4;563.0;177.0;2.1;45.0;;576.0;0.0;
2025-10-01;14:18;Centro de Alto Rendimiento;5;565.0;149.0;2.5;52.0;;293.0;0.0;16.4
2025-10-01;14:18;Las Ferias;6;564.0;;;51.0;;;0.0;18.4
2025-10-01;14:18;Guaymaral;8;564.0;111.0;1.7;59.0;16.2;99.0;0.0;16.8
2025-10-01;14:18;Kennedy;9;;189.0;2.0;48.5;;342.0;0.0;
2025-10-01;14:18;Suba;11;;73.0;2.8;;;;0.0;17.6
2025-10-01;14:18;Puente Aranda;13;564.0;161.0;3.3;56.0;;290.0;0.0;17.8
2025-10-01;14:18;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;14:18;San Cristobal;24;;143.0;1.3;54.0;;475.0;0.0;17.9
2025-10-01;14:18;Movil 7ma;26;562.0;218.0;1.8;47.8;;311.0;0.0;18.8
2025-10-01;14:18;Bolivia;27;565.0;151.0;2.5;64.0;;205.0;0.0;17.3
2025-10-01;14:18;Fontibon;30;564.0;164.0;4.2;52.0;;;0.0;17.6
2025-10-01;14:18;Usme;32;562.0;;;;;536.0;0.0;17.7
2025-10-01;14:18;Jazmin;34;564.0;149.0;2.8;52.0;;545.0;0.0;18.6
2025-10-01;14:18;Ciudad Bolivar;37;558.0;;;;;420.0;0.0;17.2
2025-10-01;14:18;Colina;38;564.0;158.0;1.9;;;172.0;0.0;17.2
2025-10-01;14:18;Movil Fontibon;39;565.0;;;;;249.0;;18.4
2025-10-01;15:25;Usaquen;1;;148.0;2.8;;;;0.0;16.5
2025-10-01;15:25;Carvajal - Sevillana;3;;246.0;5.0;;;;0.0;20.2
2025-10-01;15:25;Tunal;4;563.0;174.0;2.5;45.0;;923.0;0.0;
2025-10-01;15:25;Centro de Alto Rendimiento;5;565.0;145.0;2.7;50.0;;351.0;0.0;16.9
2025-10-01;15:25;Las Ferias;6;564.0;;;48.0;;;0.0;19.3
2025-10-01;15:25;Guaymaral;8;564.0;159.0;1.6;57.0;17.8;262.0;0.0;18.4
2025-10-01;15:25;Kennedy;9;;175.0;1.4;46.2;;391.0;0.0;
2025-10-01;15:25;Suba;11;;87.0;2.2;;;;0.0;17.6
2025-10-01;15:25;Puente Aranda;13;563.0;162.0;3.2;56.0;;390.0;0.0;18.1
2025-10-01;15:25;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;15:25;San Cristobal;24;;164.0;1.7;51.0;;531.0;0.0;18.8
2025-10-01;15:25;Movil 7ma;26;562.0;205.0;1.4;46.8;;250.0;0.0;19.2
2025-10-01;15:25;Bolivia;27;564.0;121.0;2.0;66.0;;405.0;0.0;17.4
2025-10-01;15:25;Fontibon;30;564.0;143.0;2.9;52.0;;;0.0;17.8
2025-10-01;15:25;Usme;32;562.0;;;;;358.0;0.0;17.3
2025-10-01;15:25;Jazmin;34;564.0;148.0;3.1;52.0;;551.0;0.0;18.7
2025-10-01;15:25;Ciudad Bolivar;37;557.0;;;;;612.0;0.0;17.4
2025-10-01;15:25;Colina;38;564.0;165.0;1.6;;;282.0;0.0;17.7
2025-10-01;15:25;Movil Fontibon;39;564.0;;;;;339.0;;18.7
