Fecha;Hora;name;stationId;Temperatura;Dir Viento;Temperatura 8M;Presion Baro;Lluvia;Vel Viento;Rad Solar;Humedad
2025-12-07;09:21;Usme;32;16.6;;;563.0;0.0;;522.0;
2025-12-07;09:21;Jazmin;34;16.6;307.0;;565.0;0.0;1.0;586.0;67.0
2025-12-07;09:21;Ciudad Bolivar;37;15.5;;;559.0;0.0;;479.0;
2025-12-07;09:21;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;09:21;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;10:21;Usaquen;1;16.0;105.0;;;0.0;1.3;;
2025-12-07;10:21;Carvajal - Sevillana;3;22.4;58.0;;;0.0;2.2;;
2025-12-07;10:21;Tunal;4;;302.0;;564.0;0.0;1.9;554.0;48.0
2025-12-07;10:21;Centro de Alto Rendimiento;5;20.3;39.0;;566.0;0.0;1.0;456.0;51.0
2025-12-07;10:21;Las Ferias;6;20.5;4.0;;565.0;0.0;1.3;;46.0
2025-12-07;10:21;Guaymaral;8;19.9;333.0;18.3;565.0;0.0;1.5;530.0;54.0
2025-12-07;10:21;Kennedy;9;;331.0;;;0.0;1.6;592.0;60.8
2025-12-07;10:21;Suba;11;19.7;343.0;;;0.0;1.1;;
2025-12-07;10:21;Puente Aranda;13;17.7;298.0;;565.0;0.0;1.3;276.0;63.0
2025-12-07;10:21;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;10:21;San Cristobal;24;18.5;1.0;;;0.0;1.0;498.0;51.0
2025-12-07;10:21;Movil 7ma;26;19.5;230.0;;563.0;0.0;0.8;727.0;47.4
2025-12-07;10:21;Bolivia;27;17.0;291.0;;566.0;0.0;1.2;648.0;67.0
2025-12-07;10:21;Fontibon;30;18.3;350.0;;566.0;0.0;1.7;;54.0
2025-12-07;10:21;Usme;32;18.0;;;563.0;0.0;;658.0;
2025-12-07;10:21;Jazmin;34;17.8;312.0;;565.0;0.0;1.6;649.0;57.0
2025-12-07;10:21;Ciudad Bolivar;37;17.1;;;559.0;0.0;;612.0;
2025-12-07;10:21;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;10:21;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;11:28;Usaquen;1;19.5;32.0;;;0.0;0.9;;
2025-12-07;11:28;Carvajal - Sevillana;3;24.5;56.0;;;0.0;2.1;;
2025-12-07;11:28;Tunal;4;;296.0;;564.0;0.0;2.1;910.0;42.0
2025-12-07;11:28;Centro de Alto Rendimiento;5;20.6;11.0;;566.0;0.0;1.6;557.0;47.0
2025-12-07;11:28;Las Ferias;6;20.0;298.0;;565.0;0.0;1.1;;44.0
2025-12-07;11:28;Guaymaral;8;21.7;308.0;20.3;565.0;0.0;1.2;656.0;43.0
2025-12-07;11:28;Kennedy;9;;341.0;;;0.0;2.1;777.0;46.6
2025-12-07;11:28;Suba;11;22.6;236.0;;;0.0;0.6;;
2025-12-07;11:28;Puente Aranda;13;18.7;285.0;;565.0;0.0;1.7;538.0;52.0
2025-12-07;11:28;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;11:28;San Cristobal;24;17.7;8.0;;;0.0;0.8;284.0;52.0
2025-12-07;11:28;Movil 7ma;26;22.0;112.0;;563.0;0.0;0.6;580.0;39.1
2025-12-07;11:28;Bolivia;27;18.1;315.0;;566.0;0.0;1.8;835.0;62.0
2025-12-07;11:28;Fontibon;30;19.7;358.0;;565.0;0.0;1.9;;44.0
2025-12-07;11:28;Usme;32;18.7;;;563.0;0.0;;686.0;
2025-12-07;11:28;Jazmin;34;18.7;309.0;;565.0;0.0;2.0;777.0;50.0
2025-12-07;11:28;Ciudad Bolivar;37;18.2;;;558.0;0.0;;796.0;
2025-12-07;11:28;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
