Fecha;Hora;name;stationId;Humedad;Temperatura 8M;Rad Solar;Presion Baro;Temperatura;Vel Viento;Lluvia;Dir Viento
2025-11-25;04:28;Ciudad Bolivar;37;;;0.0;556.0;12.4;;0.0;
2025-11-25;04:28;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;04:28;Movil Fontibon;39;;;0.0;563.0;13.5;;;
2025-11-25;05:29;Usaquen;1;;;;;13.3;0.3;0.0;126.0
2025-11-25;05:29;Carvajal - Sevillana;3;;;;;14.1;0.7;0.0;213.0
2025-11-25;05:29;Tunal;4;85.0;;1.0;562.0;;0.5;0.0;213.0
2025-11-25;05:29;Centro de Alto Rendimiento;5;88.0;;0.0;564.0;11.0;0.4;0.0;272.0
2025-11-25;05:29;Las Ferias;6;77.0;;;563.0;13.2;1.0;0.0;341.0
2025-11-25;05:29;Guaymaral;8;83.0;12.0;0.0;563.0;12.3;0.6;0.0;286.0
2025-11-25;05:29;Kennedy;9;86.5;;0.0;;;0.5;0.0;332.0
2025-11-25;05:29;Suba;11;;;;;11.8;0.7;0.0;17.0
2025-11-25;05:29;Puente Aranda;13;92.0;;0.0;563.0;14.4;0.6;0.0;4.0
2025-11-25;05:29;MinAmbiente;17;;;;;;-9999.0;0.0;-9999.0
2025-11-25;05:29;San Cristobal;24;81.0;;0.0;;11.6;0.9;0.0;114.0
2025-11-25;05:29;Movil 7ma;26;67.4;;0.0;561.0;13.8;0.4;0.0;317.0
2025-11-25;05:29;Bolivia;27;88.0;;0.0;564.0;13.0;1.3;0.0;27.0
2025-11-25;05:29;Fontibon;30;87.0;;;563.0;12.9;0.9;0.0;37.0
2025-11-25;05:29;Usme;32;;;0.0;561.0;12.9;;0.0;
2025-11-25;05:29;Jazmin;34;90.0;;0.0;563.0;14.0;0.5;0.0;258.0
2025-11-25;05:29;Ciudad Bolivar;37;;;0.0;556.0;12.7;;0.0;
2025-11-25;05:29;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;05:29;Movil Fontibon;39;;;0.0;564.0;13.7;;;
2025-11-25;06:21;Usaquen;1;;;;;13.0;0.7;0.0;46.0
2025-11-25;06:21;Carvajal - Sevillana;3;;;;;14.4;1.4;0.0;242.0
2025-11-25;06:21;Tunal;4;83.0;;2.0;562.0;;0.6;0.0;191.0
2025-11-25;06:21;Centro de Alto Rendimiento;5;88.0;;1.0;564.0;11.0;0.2;0.0;286.0
2025-11-25;06:21;Las Ferias;6;74.0;;;563.0;13.3;0.8;0.0;350.0
2025-11-25;06:21;Guaymaral;8;82.0;11.8;0.0;563.0;12.0;0.5;0.0;339.0
2025-11-25;06:21;Kennedy;9;86.5;;1.0;;;0.7;0.0;2.0
2025-11-25;06:21;Suba;11;;;;;11.9;0.9;0.0;37.0
2025-11-25;06:21;Puente Aranda;13;95.0;;1.0;563.0;14.1;1.0;0.0;249.0
