Fecha;Hora;name;stationId;Vel Viento;Dir Viento;Presion Baro;Temperatura 8M;Humedad;Rad Solar;Lluvia;Temperatura
2025-10-19;14:17;Movil Fontibon;39;;;565.0;;;472.0;;18.7
2025-10-19;15:23;Usaquen;1;2.0;125.0;;;;;0.0;17.4
2025-10-19;15:23;Carvajal - Sevillana;3;3.3;266.0;;;;;0.0;19.9
2025-10-19;15:23;Tunal;4;1.7;190.0;563.0;;43.0;461.0;0.0;
2025-10-19;15:23;Centro de Alto Rendimiento;5;1.8;118.0;564.0;;47.0;256.0;0.0;17.1
2025-10-19;15:23;Las Ferias;6;;;563.0;;44.0;;0.0;19.2
2025-10-19;15:23;Guaymaral;8;1.7;119.0;563.0;18.6;43.0;172.0;0.0;19.4
2025-10-19;15:23;Kennedy;9;1.6;192.0;;;39.6;380.0;0.1;
2025-10-19;15:23;Suba;11;2.0;73.0;;;;;0.0;19.9
2025-10-19;15:23;Puente Aranda;13;1.6;128.0;563.0;;51.0;248.0;0.0;18.5
2025-10-19;15:23;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;15:23;San Cristobal;24;2.2;106.0;;;51.0;248.0;0.0;17.3
2025-10-19;15:23;Movil 7ma;26;0.9;165.0;562.0;;42.5;227.0;0.0;20.0
2025-10-19;15:23;Bolivia;27;2.2;105.0;564.0;;55.0;362.0;0.0;18.4
2025-10-19;15:23;Fontibon;30;2.2;108.0;564.0;;43.0;;0.0;19.0
2025-10-19;15:23;Usme;32;;;562.0;;;392.0;0.0;17.9
2025-10-19;15:23;Jazmin;34;2.4;143.0;563.0;;47.0;393.0;0.0;18.7
2025-10-19;15:23;Ciudad Bolivar;37;;;557.0;;;391.0;0.0;17.2
2025-10-19;15:23;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;15:23;Movil Fontibon;39;;;564.0;;;323.0;;19.3
2025-10-19;16:19;Usaquen;1;0.7;20;;;;;0;17.9
2025-10-19;16:19;Carvajal - Sevillana;3;2.8;218;;;;;0;19.1
