Fecha;Hora;name;stationId;Temperatura;Humedad;Dir Viento;Presion Baro;Lluvia;Rad Solar;Vel Viento;Temperatura 8M
2025-09-30;09:22;Ciudad Bolivar;37;10.7;;;560.0;1.4;110.0;;
2025-09-30;09:22;Colina;38;11.6;;322.0;567.0;0.0;63.0;1.4;
2025-09-30;09:22;Movil Fontibon;39;11.6;;;567.0;;87.0;;
2025-09-30;10:22;Usaquen;1;11.2;;334.0;;1.4;;1.0;
2025-09-30;10:22;Carvajal - Sevillana;3;12.9;;30.0;;0.8;;2.6;
2025-09-30;10:22;Tunal;4;;86.0;310.0;566.0;0.9;268.0;1.1;
2025-09-30;10:22;Centro de Alto Rendimiento;5;11.1;83.0;295.0;568.0;1.1;140.0;1.0;
2025-09-30;10:22;Las Ferias;6;11.9;82.0;;567.0;1.2;;;
2025-09-30;10:22;Guaymaral;8;12.5;81.0;-9999.0;567.0;0.0;84.0;-9999.0;12.2
2025-09-30;10:22;Kennedy;9;;87.4;309.0;;0.3;227.0;1.5;
2025-09-30;10:22;Suba;11;11.9;;260.0;;1.5;;0.9;
2025-09-30;10:22;Puente Aranda;13;12.0;97.0;262.0;566.0;0.2;228.0;1.6;
2025-09-30;10:22;MinAmbiente;17;;;-9999.0;;2.1;;-9999.0;
2025-09-30;10:22;San Cristobal;24;10.6;92.0;350.0;;1.4;87.0;1.1;
2025-09-30;10:22;Movil 7ma;26;12.0;77.5;218.0;565.0;1.9;83.0;0.2;
2025-09-30;10:22;Bolivia;27;11.6;92.0;270.0;568.0;1.5;180.0;1.3;
2025-09-30;10:22;Fontibon;30;11.5;92.0;265.0;567.0;0.3;;1.9;
2025-09-30;10:22;Usme;32;11.9;;;565.0;1.6;112.0;;
2025-09-30;10:22;Jazmin;34;12.1;98.0;304.0;567.0;1.0;281.0;1.4;
2025-09-30;10:22;Ciudad Bolivar;37;11.7;;;560.0;0.6;158.0;;
2025-09-30;10:22;Colina;38;11.9;;266.0;567.0;0.0;145.0;0.9;
2025-09-30;10:22;Movil Fontibon;39;11.9;;;567.0;;262.0;;
2025-09-30;11:29;Usaquen;1;12.5;;233.0;;0.0;;0.5;
2025-09-30;11:29;Carvajal - Sevillana;3;14.9;;58.0;;0.2;;2.2;
2025-09-30;11:29;Tunal;4;;80.0;303.0;566.0;0.6;170.0;1.3;
2025-09-30;11:29;Centro de Alto Rendimiento;5;12.8;76.0;315.0;567.0;0.1;268.0;1.2;
2025-09-30;11:29;Las Ferias;6;14.1;73.0;;566.0;0.0;;;
2025-09-30;11:29;Guaymaral;8;13.7;76.0;-9999.0;566.0;0.0;168.0;-9999.0;13.3
2025-09-30;11:29;Kennedy;9;;80.4;330.0;;0.0;345.0;1.4;
2025-09-30;11:29;Suba;11;14.1;;255.0;;0.1;;0.8;
2025-09-30;11:29;Puente Aranda;13;13.3;91.0;275.0;566.0;0.0;251.0;1.1;
2025-09-30;11:29;MinAmbiente;17;;;-9999.0;;0.1;;-9999.0;
2025-09-30;11:29;San Cristobal;24;11.2;91.0;16.0;;2.0;94.0;0.5;
2025-09-30;11:29;Movil 7ma;26;13.1;77.1;202.0;564.0;0.3;158.0;0.0;
2025-09-30;11:29;Bolivia;27;12.7;87.0;285.0;567.0;0.2;463.0;1.2;
2025-09-30;11:29;Fontibon;30;12.9;86.0;307.0;567.0;0.0;;1.9;
2025-09-30;11:29;Usme;32;12.6;;;564.0;0.1;153.0;;
2025-09-30;11:29;Jazmin;34;12.9;95.0;314.0;566.0;0.0;241.0;1.3;
2025-09-30;11:29;Ciudad Bolivar;37;12.3;;;560.0;0.2;150.0;;
2025-09-30;11:29;Colina;38;13.2;;283.0;566.0;0.0;316.0;0.9;
2025-09-30;11:29;Movil Fontibon;39;13.3;;;567.0;;441.0;;
2025-09-30;12:19;Usaquen;1;13.5;;218.0;;0.0;;0.4;
2025-09-30;12:19;Carvajal - Sevillana;3;14.3;;45.0;;0.6;;1.6;
2025-09-30;12:19;Tunal;4;;83.0;278.0;565.0;1.4;184.0;0.9;
2025-09-30;12:19;Centro de Alto Rendimiento;5;13.2;73.0;255.0;567.0;0.1;189.0;0.7;
2025-09-30;12:19;Las Ferias;6;15.1;68.0;;566.0;0.0;;;
2025-09-30;12:19;Guaymaral;8;14.7;70.0;288.0;565.0;0.0;111.0;1.9;14.4
2025-09-30;12:19;Kennedy;9;;78.9;284.0;;0.5;158.0;1.3;
2025-09-30;12:19;Suba;11;16.5;;236.0;;0.0;;0.7;
2025-09-30;12:19;Puente Aranda;13;13.1;95.0;241.0;565.0;0.5;180.0;0.8;
2025-09-30;12:19;MinAmbiente;17;;;-9999.0;;0.7;;-9999.0;
2025-09-30;12:19;San Cristobal;24;12.1;90.0;3.0;;0.2;149.0;0.6;
2025-09-30;12:19;Movil 7ma;26;13.9;73.1;230.0;564.0;0.1;118.0;0.3;
2025-09-30;12:19;Bolivia;27;14.1;80.0;252.0;566.0;0.0;396.0;1.2;
2025-09-30;12:19;Fontibon;30;14.3;76.0;243.0;566.0;0.0;;1.4;
2025-09-30;12:19;Usme;32;13.1;;;564.0;0.4;305.0;;
2025-09-30;12:19;Jazmin;34;13.2;94.0;308.0;566.0;0.6;229.0;0.8;
2025-09-30;12:19;Ciudad Bolivar;37;12.2;;;559.0;0.5;143.0;;
2025-09-30;12:19;Colina;38;14.2;;244.0;566.0;0.0;162.0;0.5;
2025-09-30;12:19;Movil Fontibon;39;14.2;;;566.0;;293.0;;
2025-09-30;13:30;Usaquen;1;13.3;;177.0;;0.5;;0.9;
2025-09-30;13:30;Carvajal - Sevillana;3;14.9;;49.0;;0.0;;2.5;
2025-09-30;13:30;Tunal;4;;80.0;300.0;564.0;0.2;285.0;1.6;
2025-09-30;13:30;Centro de Alto Rendimiento;5;12.5;77.0;214.0;566.0;0.5;136.0;0.7;
2025-09-30;13:30;Las Ferias;6;14.9;71.0;;565.0;0.0;;;
2025-09-30;13:30;Guaymaral;8;15.4;71.0;176.0;565.0;0.0;169.0;1.2;15.0
2025-09-30;13:30;Kennedy;9;;83.2;301.0;;0.0;220.0;1.4;
2025-09-30;13:30;Suba;11;17.3;;156.0;;0.0;;1.0;
2025-09-30;13:30;Puente Aranda;13;13.1;99.0;255.0;565.0;0.5;233.0;1.7;
2025-09-30;13:30;MinAmbiente;17;;;-9999.0;;1.3;;-9999.0;
2025-09-30;13:30;San Cristobal;24;12.7;89.0;14.0;;0.3;215.0;0.9;
2025-09-30;13:30;Movil 7ma;26;14.0;72.2;202.0;563.0;1.3;89.0;0.3;
2025-09-30;13:30;Bolivia;27;14.1;81.0;236.0;566.0;0.0;228.0;1.7;
2025-09-30;13:30;Fontibon;30;13.1;86.0;230.0;565.0;0.1;;3.7;
2025-09-30;13:30;Usme;32;13.4;;;563.0;0.3;167.0;;
2025-09-30;13:30;Jazmin;34;13.3;97.0;306.0;565.0;0.7;274.0;1.4;
2025-09-30;13:30;Ciudad Bolivar;37;13.1;;;559.0;0.0;231.0;;
2025-09-30;13:30;Colina;38;14.5;;237.0;565.0;0.0;157.0;0.6;
2025-09-30;13:30;Movil Fontibon;39;13.3;;;566.0;;306.0;;
2025-09-30;15:25;Usaquen;1;17.3;;262.0;;0.0;;1.0;
2025-09-30;15:25;Carvajal - Sevillana;3;16.5;;341.0;;0.0;;1.8;
2025-09-30;15:25;Tunal;4;;72.0;246.0;563.0;0.0;421.0;1.5;
2025-09-30;15:25;Centro de Alto Rendimiento;5;16.8;62.0;272.0;565.0;0.0;558.0;1.8;
2025-09-30;15:25;Las Ferias;6;19.9;55.0;;564.0;0.0;;;
2025-09-30;15:25;Guaymaral;8;19.1;54.0;243.0;563.0;0.0;211.0;1.1;18.4
2025-09-30;15:25;Kennedy;9;;69.0;243.0;;0.0;329.0;2.2;
2025-09-30;15:25;Suba;11;20.8;;206.0;;0.0;;1.0;
2025-09-30;15:25;Puente Aranda;13;15.6;83.0;220.0;563.0;0.1;431.0;2.2;
2025-09-30;15:25;MinAmbiente;17;;;-9999.0;;0.0;;-9999.0;
2025-09-30;15:25;San Cristobal;24;15.6;75.0;272.0;;0.0;192.0;0.7;
2025-09-30;15:25;Movil 7ma;26;18.1;61.1;224.0;562.0;0.0;430.0;0.7;
2025-09-30;15:25;Bolivia;27;16.7;74.0;253.0;565.0;0.0;712.0;1.5;
2025-09-30;15:25;Fontibon;30;15.9;72.0;223.0;564.0;0.0;;3.0;
2025-09-30;15:25;Usme;32;15.2;;;562.0;0.0;253.0;;
2025-09-30;15:25;Jazmin;34;16.1;81.0;245.0;564.0;0.0;442.0;1.7;
2025-09-30;15:25;Ciudad Bolivar;37;14.2;;;557.0;0.0;239.0;;
2025-09-30;15:25;Colina;38;18.0;;276.0;564.0;0.0;585.0;0.9;
2025-09-30;15:25;Movil Fontibon;39;16.3;;;565.0;;478.0;;
2025-09-30;16:20;Usaquen;1;16.9;;220.0;;0.0;;0.8;
2025-09-30;16:20;Carvajal - Sevillana;3;18.2;;281.0;;0.0;;2.9;
2025-09-30;16:20;Tunal;4;;58.0;199.0;563.0;0.0;521.0;1.4;
2025-09-30;16:20;Centro de Alto Rendimiento;5;16.9;59.0;273.0;564.0;0.0;381.0;2.1;
2025-09-30;16:20;Las Ferias;6;19.5;55.0;;563.0;0.0;;;
2025-09-30;16:20;Guaymaral;8;17.3;58.0;250.0;563.0;0.2;28.0;0.8;17.0
2025-09-30;16:20;Kennedy;9;;65.0;269.0;;0.0;430.0;2.4;
2025-09-30;16:20;Suba;11;19.4;;266.0;;3.0;;0.9;
2025-09-30;16:20;Puente Aranda;13;17.0;74.0;218.0;563.0;0.0;370.0;2.4;
2025-09-30;16:20;MinAmbiente;17;;;-9999.0;;0.0;;-9999.0;
2025-09-30;16:20;San Cristobal;24;17.6;60.0;234.0;;0.0;184.0;0.3;
2025-09-30;16:20;Movil 7ma;26;19.4;53.4;226.0;561.0;0.0;268.0;0.7;
2025-09-30;16:20;Bolivia;27;17.2;73.0;252.0;564.0;0.0;558.0;2.4;
2025-09-30;16:20;Fontibon;30;16.9;68.0;242.0;564.0;0.0;;4.7;
2025-09-30;16:20;Usme;32;16.0;;;562.0;0.0;269.0;;
2025-09-30;16:20;Jazmin;34;18.6;64.0;218.0;563.0;0.0;628.0;1.4;
2025-09-30;16:20;Ciudad Bolivar;37;16.1;;;557.0;0.0;308.0;;
2025-09-30;16:20;Colina;38;17.9;;235.0;563.0;0.0;203.0;1.0;
2025-09-30;16:20;Movil Fontibon;39;17.2;;;564.0;;582.0;;
