Fecha;Hora;name;stationId;Rad Solar;Temperatura;Lluvia;Temperatura 8M;Dir Viento;Presion Baro;Vel Viento;Humedad
2025-12-30;05:28;Centro de Alto Rendimiento;5;0.0;13.3;0.0;;105.0;564.0;1.7;76.0
2025-12-30;05:28;Las Ferias;6;;13.6;0.0;;43.0;563.0;2.7;68.0
2025-12-30;05:28;Guaymaral;8;0.0;12.2;0.0;11.9;258.0;563.0;1.2;76.0
2025-12-30;05:28;Kennedy;9;0.0;;0.0;;16.0;;0.8;77.9
2025-12-30;05:28;Suba;11;;11.7;0.0;;9.0;;1.4;
2025-12-30;05:28;Puente Aranda;13;0.0;14.6;0.0;;294.0;563.0;0.8;78.0
2025-12-30;05:28;MinAmbiente;17;;;0.0;;-9999.0;;-9999.0;
2025-12-30;05:28;San Cristobal;24;0.0;12.1;0.0;;114.0;;0.8;77.0
2025-12-30;05:28;Movil 7ma;26;0.0;14.0;0.0;;193.0;561.0;0.6;63.1
2025-12-30;05:28;Bolivia;27;0.0;12.5;0.0;;43.0;564.0;1.7;84.0
2025-12-30;05:28;Fontibon;30;;12.8;0.0;;36.0;564.0;2.6;79.0
2025-12-30;05:28;Usme;32;0.0;13.4;0.0;;;561.0;;
2025-12-30;05:28;Jazmin;34;0.0;14.3;0.0;;313.0;563.0;0.8;77.0
2025-12-30;05:28;Ciudad Bolivar;37;0.0;12.6;0.0;;;557.0;;
2025-12-30;05:28;Colina;38;53.0;14.8;0.3;;271.0;562.0;0.9;
2025-12-30;05:28;Movil Fontibon;39;0.0;13.5;;;;564.0;;
2025-12-30;06:23;Usaquen;1;;12.6;0.0;;74.0;;0.8;
2025-12-30;06:23;Carvajal - Sevillana;3;;11.9;0.0;;243.0;;1.6;
2025-12-30;06:23;Tunal;4;0.0;;0.4;;214.0;563.0;0.3;78.0
2025-12-30;06:23;Centro de Alto Rendimiento;5;0.0;13.2;0.1;;161.0;565.0;0.8;79.0
2025-12-30;06:23;Las Ferias;6;;13.0;0.0;;17.0;564.0;1.2;72.0
2025-12-30;06:23;Guaymaral;8;0.0;12.2;0.0;12.0;316.0;563.0;0.5;77.0
2025-12-30;06:23;Kennedy;9;0.0;;0.0;;340.0;;1.4;78.1
2025-12-30;06:23;Suba;11;;11.8;0.0;;8.0;;1.3;
2025-12-30;06:23;Puente Aranda;13;0.0;13.8;0.0;;162.0;563.0;0.7;86.0
2025-12-30;06:23;MinAmbiente;17;;;0.5;;-9999.0;;-9999.0;
2025-12-30;06:23;San Cristobal;24;0.0;11.1;0.3;;114.0;;0.5;87.0
2025-12-30;06:23;Movil 7ma;26;0.0;13.4;0.2;;317.0;562.0;0.8;68.4
2025-12-30;06:23;Bolivia;27;0.0;12.7;0.0;;56.0;565.0;1.4;85.0
2025-12-30;06:23;Fontibon;30;;12.4;0.2;;24.0;564.0;1.7;83.0
2025-12-30;06:23;Usme;32;0.0;12.6;0.0;;;562.0;;
2025-12-30;06:23;Jazmin;34;0.0;13.8;0.0;;247.0;564.0;0.7;84.0
2025-12-30;06:23;Ciudad Bolivar;37;0.0;12.1;0.0;;;557.0;;
2025-12-30;06:23;Colina;38;53.0;14.8;0.3;;271.0;562.0;0.9;
2025-12-30;06:23;Movil Fontibon;39;0.0;13.1;;;;564.0;;
2025-12-30;07:54;Usaquen;1;;12.7;0.0;;146.0;;0.8;
2025-12-30;07:54;Carvajal - Sevillana;3;;11.9;0.0;;243.0;;1.6;
2025-12-30;07:54;Tunal;4;14.0;;0.1;;301.0;563.0;0.7;83.0
2025-12-30;07:54;Centro de Alto Rendimiento;5;30.0;12.6;0.0;;235.0;565.0;0.5;86.0
2025-12-30;07:54;Las Ferias;6;;12.9;0.0;;360.0;564.0;0.9;72.0
2025-12-30;07:54;Guaymaral;8;8.0;12.5;0.0;12.3;310.0;564.0;0.8;78.0
2025-12-30;07:54;Kennedy;9;15.0;;0.0;;351.0;;1.0;83.3
2025-12-30;07:54;Suba;11;;11.7;0.0;;22.0;;1.2;
2025-12-30;07:54;Puente Aranda;13;17.0;13.1;0.0;;67.0;564.0;0.7;97.0
2025-12-30;07:54;MinAmbiente;17;;;0.0;;-9999.0;;-9999.0;
2025-12-30;07:54;San Cristobal;24;7.0;10.8;0.1;;75.0;;0.2;90.0
2025-12-30;07:54;Movil 7ma;26;24.0;13.0;0.0;;307.0;562.0;0.3;72.8
2025-12-30;07:54;Bolivia;27;57.0;12.8;0.0;;65.0;565.0;1.4;85.0
2025-12-30;07:54;Fontibon;30;;12.1;0.1;;274.0;565.0;0.2;88.0
