Fecha;Hora;name;stationId;Temperatura 8M;Humedad;Vel Viento;Dir Viento;Lluvia;Temperatura;Presion Baro;Rad Solar
2025-10-14;07:51;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;07:51;San Cristobal;24;;85.0;0.8;111.0;0.0;9.9;;43.0
2025-10-14;07:51;Movil 7ma;26;;69.2;0.0;195.0;0.0;12.3;562.0;54.0
2025-10-14;07:51;Bolivia;27;;89.0;1.1;83.0;0.0;12.2;565.0;76.0
2025-10-14;07:51;Fontibon;30;;89.0;1.1;77.0;0.0;12.0;564.0;
2025-10-14;07:51;Usme;32;;;;;0.0;12.4;562.0;49.0
2025-10-14;07:51;Jazmin;34;;87.0;0.4;216.0;0.0;12.6;564.0;56.0
2025-10-14;07:51;Ciudad Bolivar;37;;;;;0.0;11.7;557.0;67.0
2025-10-14;07:51;Colina;38;;;0.3;305.0;0.0;11.1;564.0;41.0
2025-10-14;07:51;Movil Fontibon;39;;;;;;12.7;565.0;73.0
2025-10-14;08:33;Usaquen;1;;;0.9;357.0;0.0;13.1;;
2025-10-14;08:33;Carvajal - Sevillana;3;;;;;0.0;14.5;;
2025-10-14;08:33;Tunal;4;;72.0;0.9;187.0;0.0;;564.0;124.0
2025-10-14;08:33;Centro de Alto Rendimiento;5;;71.0;1.6;27.0;0.0;12.4;565.0;115.0
2025-10-14;08:33;Las Ferias;6;;63.0;1.8;16.0;0.0;13.7;564.0;
2025-10-14;08:33;Guaymaral;8;12.7;80.0;1.0;322.0;0.0;12.6;564.0;28.0
2025-10-14;08:33;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;08:33;Suba;11;;;1.1;4.0;0.0;11.5;;
2025-10-14;08:33;Puente Aranda;13;;76.0;1.2;241.0;0.0;13.9;564.0;92.0
2025-10-14;08:33;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;08:33;San Cristobal;24;;71.0;0.9;77.0;0.0;12.3;;88.0
2025-10-14;08:33;Movil 7ma;26;;65.6;0.2;215.0;0.0;13.9;562.0;118.0
2025-10-14;08:33;Bolivia;27;;84.0;1.4;45.0;0.0;12.6;565.0;98.0
2025-10-14;08:33;Fontibon;30;;76.0;2.5;55.0;0.0;13.4;565.0;
2025-10-14;08:33;Usme;32;;;;;0.0;13.7;562.0;110.0
2025-10-14;08:33;Jazmin;34;;75.0;0.6;294.0;0.0;13.7;564.0;115.0
2025-10-14;08:33;Ciudad Bolivar;37;;;;;0.0;13.3;558.0;162.0
2025-10-14;08:33;Colina;38;;;0.7;338.0;0.0;12.7;564.0;62.0
2025-10-14;08:33;Movil Fontibon;39;;;;;;13.9;565.0;186.0
2025-10-14;09:24;Usaquen;1;;;1.0;213.0;0.0;14.0;;
2025-10-14;09:24;Carvajal - Sevillana;3;;;;;0.0;14.5;;
2025-10-14;09:24;Tunal;4;;67.0;1.5;182.0;0.0;;564.0;194.0
2025-10-14;09:24;Centro de Alto Rendimiento;5;;63.0;0.5;48.0;0.0;13.5;566.0;131.0
2025-10-14;09:24;Las Ferias;6;;62.0;1.8;23.0;0.0;14.6;565.0;
2025-10-14;09:24;Guaymaral;8;13.7;72.0;1.2;342.0;0.0;14.0;565.0;109.0
2025-10-14;09:24;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;09:24;Suba;11;;;1.4;40.0;0.0;12.9;;
2025-10-14;09:24;Puente Aranda;13;;71.0;1.5;199.0;0.1;14.4;564.0;101.0
2025-10-14;09:24;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;09:24;San Cristobal;24;;66.0;1.4;127.0;0.0;13.2;;180.0
2025-10-14;09:24;Movil 7ma;26;;57.1;0.8;78.0;0.0;15.2;563.0;132.0
2025-10-14;09:24;Bolivia;27;;79.0;2.3;67.0;0.0;13.6;566.0;324.0
2025-10-14;09:24;Fontibon;30;;71.0;1.9;63.0;0.0;14.0;565.0;
2025-10-14;09:24;Usme;32;;;;;0.0;13.6;563.0;173.0
2025-10-14;09:24;Jazmin;34;;67.0;1.6;171.0;0.0;14.5;565.0;149.0
2025-10-14;09:24;Ciudad Bolivar;37;;;;;0.0;13.2;558.0;155.0
2025-10-14;09:24;Colina;38;;;1.2;344.0;0.0;13.6;565.0;133.0
2025-10-14;09:24;Movil Fontibon;39;;;;;;14.4;565.0;160.0
