Fecha;Hora;name;stationId;Lluvia;Temperatura 8M;Vel Viento;Humedad;Temperatura;Rad Solar;Dir Viento;Presion Baro
2025-10-02;07:45;Fontibon;30;0.0;;1.9;82.0;11.7;;56.0;566.0
2025-10-02;07:45;Usme;32;0.0;;;;12.0;49.0;;564.0
2025-10-02;07:45;Jazmin;34;0.0;;0.4;84.0;13.1;106.0;298.0;566.0
2025-10-02;07:45;Ciudad Bolivar;37;0.0;;;;12.2;71.0;;559.0
2025-10-02;07:45;Colina;38;0.0;;1.1;;11.4;64.0;50.0;566.0
2025-10-02;07:45;Movil Fontibon;39;;;;;12.1;86.0;;566.0
2025-10-02;08:30;Usaquen;1;0.0;;1.8;;12.9;;112.0;
2025-10-02;08:30;Carvajal - Sevillana;3;0.0;;1.4;;15.2;;252.0;
2025-10-02;08:30;Tunal;4;0.0;;0.9;70.0;;162.0;204.0;565.0
2025-10-02;08:30;Centro de Alto Rendimiento;5;0.0;;2.0;60.0;14.3;280.0;45.0;567.0
2025-10-02;08:30;Las Ferias;6;0.0;;;60.0;15.6;;;566.0
2025-10-02;08:30;Guaymaral;8;0.0;14.3;0.7;80.0;14.4;202.0;318.0;566.0
2025-10-02;08:30;Kennedy;9;0.0;;0.8;81.9;;139.0;304.0;
2025-10-02;08:30;Suba;11;0.0;;1.7;;11.5;;19.0;
2025-10-02;08:30;Puente Aranda;13;0.0;;1.0;74.0;14.6;166.0;105.0;566.0
2025-10-02;08:30;MinAmbiente;17;0.0;;-9999.0;;;;-9999.0;
2025-10-02;08:30;San Cristobal;24;0.0;;0.7;67.0;12.9;87.0;122.0;
2025-10-02;08:30;Movil 7ma;26;0.0;;0.4;61.0;14.0;114.0;301.0;564.0
2025-10-02;08:30;Bolivia;27;0.0;;1.7;82.0;12.6;309.0;54.0;567.0
2025-10-02;08:30;Fontibon;30;0.0;;2.3;73.0;13.6;;39.0;566.0
2025-10-02;08:30;Usme;32;0.0;;;;13.7;109.0;;564.0
2025-10-02;08:30;Jazmin;34;0.0;;1.0;72.0;14.7;234.0;282.0;566.0
2025-10-02;08:30;Ciudad Bolivar;37;0.0;;;;13.6;201.0;;560.0
2025-10-02;08:30;Colina;38;0.0;;1.3;;13.4;239.0;95.0;566.0
2025-10-02;08:30;Movil Fontibon;39;;;;;13.7;306.0;;567.0
2025-10-02;09:22;Usaquen;1;0.0;;0.5;;14.7;;235.0;
2025-10-02;09:22;Carvajal - Sevillana;3;0.0;;3.3;;16.5;;252.0;
