Fecha;Hora;name;stationId;Dir Viento;Vel Viento;Temperatura;Presion Baro;Temperatura 8M;Humedad;Lluvia;Rad Solar
2025-12-23;06:23;Colina;38;271.0;0.9;14.8;562.0;;;0.3;53.0
2025-12-23;06:23;Movil Fontibon;39;;;13.5;564.0;;;;1.0
2025-12-23;07:54;Usaquen;1;26.0;0.5;11.8;;;;0.0;
2025-12-23;07:54;Carvajal - Sevillana;3;249.0;0.8;14.0;;;;0.0;
2025-12-23;07:54;Tunal;4;187.0;1.0;;563.0;;64.0;0.0;0.0
2025-12-23;07:54;Centro de Alto Rendimiento;5;287.0;1.2;12.1;564.0;;90.0;0.0;24.0
2025-12-23;07:54;Las Ferias;6;356.0;0.9;12.4;563.0;;78.0;0.0;
2025-12-23;07:54;Guaymaral;8;314.0;0.5;11.4;563.0;11.4;85.0;0.1;0.0
2025-12-23;07:54;Kennedy;9;276.0;1.0;;;;84.8;0.0;0.0
2025-12-23;07:54;Suba;11;27.0;0.4;11.5;;;;0.0;
2025-12-23;07:54;Puente Aranda;13;256.0;0.6;14.0;563.0;;89.0;0.0;29.0
2025-12-23;07:54;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-12-23;07:54;San Cristobal;24;109.0;1.7;9.8;;;83.0;0.0;18.0
2025-12-23;07:54;Movil 7ma;26;289.0;0.3;13.2;562.0;;72.0;0.0;21.0
2025-12-23;07:54;Bolivia;27;360.0;1.0;12.7;564.0;;85.0;0.0;37.0
2025-12-23;07:54;Fontibon;30;13.0;0.3;13.2;564.0;;81.0;0.0;
2025-12-23;07:54;Usme;32;;;11.6;562.0;;;0.0;42.0
2025-12-23;07:54;Jazmin;34;207.0;0.6;13.4;563.0;;88.0;0.0;27.0
2025-12-23;07:54;Ciudad Bolivar;37;;;12.8;557.0;;;0.0;61.0
2025-12-23;07:54;Colina;38;271.0;0.9;14.8;562.0;;;0.3;53.0
2025-12-23;07:54;Movil Fontibon;39;;;13.7;564.0;;;;41.0
2025-12-23;08:38;Usaquen;1;317.0;0.7;13.6;;;;0.0;
2025-12-23;08:38;Carvajal - Sevillana;3;189.0;0.5;15.6;;;;0.0;
2025-12-23;08:38;Tunal;4;187.0;1.0;;563.0;;64.0;0.0;0.0
2025-12-23;08:38;Centro de Alto Rendimiento;5;39.0;0.7;14.3;565.0;;86.0;0.0;148.0
2025-12-23;08:38;Las Ferias;6;354.0;1.1;14.3;564.0;;71.0;0.0;
2025-12-23;08:38;Guaymaral;8;327.0;0.7;13.4;564.0;13.3;80.0;0.0;78.0
2025-12-23;08:38;Kennedy;9;276.0;1.0;;;;84.8;0.0;0.0
2025-12-23;08:38;Suba;11;16.0;1.3;12.7;;;;0.0;
2025-12-23;08:38;Puente Aranda;13;231.0;0.8;14.7;563.0;;85.0;0.0;114.0
2025-12-23;08:38;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-12-23;08:38;San Cristobal;24;106.0;1.3;11.7;;;76.0;0.0;105.0
2025-12-23;08:38;Movil 7ma;26;253.0;0.2;14.4;562.0;;69.8;0.0;136.0
2025-12-23;08:38;Bolivia;27;358.0;1.0;13.6;565.0;;83.0;0.0;151.0
2025-12-23;08:38;Fontibon;30;29.0;1.1;14.2;564.0;;76.0;0.0;
2025-12-23;08:38;Usme;32;;;14.2;562.0;;;0.0;215.0
2025-12-23;08:38;Jazmin;34;158.0;0.6;14.7;564.0;;81.0;0.0;196.0
2025-12-23;08:38;Ciudad Bolivar;37;;;14.0;557.0;;;0.0;151.0
2025-12-23;08:38;Colina;38;271.0;0.9;14.8;562.0;;;0.3;53.0
2025-12-23;08:38;Movil Fontibon;39;;;14.5;565.0;;;;161.0
2025-12-23;09:26;Usaquen;1;360.0;0.5;17.0;;;;0.0;
2025-12-23;09:26;Carvajal - Sevillana;3;52.0;1.5;18.0;;;;0.0;
2025-12-23;09:26;Tunal;4;187.0;1.0;;563.0;;64.0;0.0;0.0
2025-12-23;09:26;Centro de Alto Rendimiento;5;64.0;1.3;17.9;565.0;;66.0;0.0;325.0
2025-12-23;09:26;Las Ferias;6;13.0;0.7;17.1;564.0;;61.0;0.0;
2025-12-23;09:26;Guaymaral;8;342.0;0.7;18.9;564.0;17.9;64.0;0.0;279.0
2025-12-23;09:26;Kennedy;9;276.0;1.0;;;;84.8;0.0;0.0
2025-12-23;09:26;Suba;11;330.0;0.8;16.6;;;;0.0;
2025-12-23;09:26;Puente Aranda;13;290.0;1.0;15.7;564.0;;80.0;0.0;193.0
2025-12-23;09:26;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-12-23;09:26;San Cristobal;24;355.0;0.4;16.1;;;66.0;0.0;364.0
