Fecha;Hora;name;stationId;PM25;eBC;NOX;PM10;BBP;OZONO;NO2;SO2;CO;NO
2025-12-08;08:37;Ciudad Bolivar;37;75.3;8.1;102.6;129.2;19.1;4.3;38.8;5.0;1.21;63.8
2025-12-08;08:37;Colina;38;8.0;;86.3;2.4;;-9999.0;62.8;0.4;0.7;23.5
2025-12-08;08:37;Movil Fontibon;39;14.2;;-9999.0;79.8;;;-9999.0;;-9999.0;-9999.0
2025-12-08;09:27;Usaquen;1;42.4;;-9999.0;35.3;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-08;09:27;Carvajal - Sevillana;3;44.0;;;111.0;;;;6.3;0.52;
2025-12-08;09:27;Tunal;4;0.0;3.6;25.2;60.0;13.3;16.4;8.9;2.2;-9999.0;16.3
2025-12-08;09:27;Centro de Alto Rendimiento;5;44.8;7.0;40.6;75.1;19.6;-9999.0;21.7;1.7;0.71;18.9
2025-12-08;09:27;Las Ferias;6;55.0;;43.1;53.2;;17.3;24.3;;0.74;18.8
2025-12-08;09:27;Guaymaral;8;41.0;;16.6;49.0;;11.4;9.6;1.0;0.4;7.0
2025-12-08;09:27;Kennedy;9;47.3;6.9;57.5;72.2;18.6;13.7;32.7;6.4;1.12;24.8
2025-12-08;09:27;Suba;11;985.0;;23.4;38.2;;5.1;8.8;2.5;0.53;14.6
2025-12-08;09:27;Puente Aranda;13;32.0;-9999.0;57.1;58.6;0.1;8.2;32.9;3.2;0.63;24.3
2025-12-08;09:27;MinAmbiente;17;48.0;;43.3;77.0;;16.7;24.6;3.3;1.07;18.7
2025-12-08;09:27;San Cristobal;24;23.0;1.7;-9999.0;43.0;18.8;16.4;-9999.0;1.5;0.57;-9999.0
2025-12-08;09:27;Movil 7ma;26;43.7;;;33.8;;;;;-9999.0;
2025-12-08;09:27;Bolivia;27;40.4;;31.0;66.4;;5.5;17.1;;0.39;13.9
2025-12-08;09:27;Fontibon;30;61.0;5.7;56.4;-9999.0;16.3;11.5;30.5;-9999.0;0.69;25.9
2025-12-08;09:27;Usme;32;35.4;;23.0;56.5;;15.1;14.0;10.7;0.29;9.1
2025-12-08;09:27;Jazmin;34;45.6;;24.9;62.6;;13.2;14.9;2.5;0.39;10.0
2025-12-08;09:27;Ciudad Bolivar;37;53.8;4.6;56.5;113.3;23.1;17.6;29.5;4.7;0.72;27.0
2025-12-08;09:27;Colina;38;8.0;;86.3;2.4;;-9999.0;62.8;0.4;0.7;23.5
2025-12-08;09:27;Movil Fontibon;39;14.2;;-9999.0;79.8;;;-9999.0;;-9999.0;-9999.0
2025-12-08;10:28;Usaquen;1;40.5;;-9999.0;35.3;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-08;10:28;Carvajal - Sevillana;3;44.0;;;105.0;;;;4.5;0.51;
2025-12-08;10:28;Tunal;4;0.0;2.8;19.5;42.0;11.0;26.2;8.7;1.3;-9999.0;10.9
