Fecha;Hora;name;stationId;NOX;BBP;NO2;eBC;CO;PM10;PM25;OZONO;SO2;NO
2025-12-16;07:55;Centro de Alto Rendimiento;5;56.2;8.4;14.9;12.3;0.78;56.9;31.7;-9999.0;2.6;41.3
2025-12-16;07:55;Las Ferias;6;77.0;;28.3;;0.93;29.4;27.0;0.8;;48.8
2025-12-16;07:55;Guaymaral;8;47.1;;20.0;;0.53;36.0;19.0;0.6;0.9;27.1
2025-12-16;07:55;Kennedy;9;112.5;8.2;27.8;10.2;2.04;70.2;31.1;0.8;4.0;84.7
2025-12-16;07:55;Suba;11;49.9;;19.7;;0.68;45.1;25.0;0.9;8.8;30.2
2025-12-16;07:55;Puente Aranda;13;119.9;0.1;27.4;-9999.0;1.41;57.2;23.8;1.2;4.1;93.3
2025-12-16;07:55;MinAmbiente;17;63.4;;16.4;;1.47;47.0;26.0;1.7;1.4;47.0
2025-12-16;07:55;San Cristobal;24;-9999.0;7.2;-9999.0;1.8;0.55;23.0;14.0;1.8;0.4;-9999.0
2025-12-16;07:55;Movil 7ma;26;;;;;-9999.0;49.2;22.3;;;
2025-12-16;07:55;Bolivia;27;0.3;;0.2;;0.57;54.4;18.1;1.1;;0.1
2025-12-16;07:55;Fontibon;30;79.0;10.6;32.2;7.3;0.95;-9999.0;29.0;2.5;-9999.0;46.8
2025-12-16;07:55;Usme;32;47.3;;18.7;;0.68;67.4;31.9;2.1;12.7;28.7
2025-12-16;07:55;Jazmin;34;105.0;;30.4;;1.19;67.7;27.6;0.4;3.3;74.7
2025-12-16;07:55;Ciudad Bolivar;37;207.3;6.1;41.1;19.2;1.77;117.1;46.7;1.5;3.5;166.2
2025-12-16;07:55;Colina;38;86.3;;62.8;;0.7;2.4;8.0;-9999.0;0.4;23.5
2025-12-16;07:55;Movil Fontibon;39;-9999.0;;-9999.0;;-9999.0;89.6;27.8;;;-9999.0
2025-12-16;08:41;Usaquen;1;-9999.0;;-9999.0;;-9999.0;63.9;13.5;-9999.0;-9999.0;-9999.0
2025-12-16;08:41;Carvajal - Sevillana;3;;;;;2.44;124.0;51.0;;4.3;
2025-12-16;08:41;Tunal;4;39.2;5.3;9.8;4.3;-9999.0;65.0;0.0;3.8;1.3;29.4
2025-12-16;08:41;Centro de Alto Rendimiento;5;53.8;4.6;16.3;12.9;1.09;58.4;23.9;-9999.0;3.9;37.4
2025-12-16;08:41;Las Ferias;6;90.9;;30.0;;1.3;29.1;29.0;2.3;;60.9
2025-12-16;08:41;Guaymaral;8;63.2;;20.1;;0.72;48.0;30.0;2.8;1.9;43.0
2025-12-16;08:41;Kennedy;9;88.6;4.1;29.9;8.7;1.77;64.9;38.0;1.6;2.7;58.7
