Fecha;Hora;name;stationId;Humedad;Presion Baro;Rad Solar;Vel Viento;Dir Viento;Temperatura;Temperatura 8M;Lluvia
2025-11-04;02:23;Suba;11;;;;0.5;42.0;11.4;;0.0
2025-11-04;02:23;Puente Aranda;13;86.0;564.0;0.0;1.5;222.0;12.6;;0.0
2025-11-04;02:23;MinAmbiente;17;;;;-9999.0;-9999.0;;;0.0
2025-11-04;02:23;San Cristobal;24;76.0;;0.0;2.0;108.0;9.5;;0.0
2025-11-04;02:23;Movil 7ma;26;66.7;562.0;0.0;0.1;33.0;14.0;;0.0
2025-11-04;02:23;Bolivia;27;94.0;565.0;0.0;0.5;268.0;12.7;;0.0
2025-11-04;02:23;Fontibon;30;93.0;565.0;;0.5;229.0;12.3;;0.0
2025-11-04;02:23;Usme;32;;562.0;0.0;;;10.5;;0.0
2025-11-04;02:23;Jazmin;34;82.0;564.0;0.0;0.7;228.0;12.3;;0.0
2025-11-04;02:23;Ciudad Bolivar;37;;558.0;0.0;;;11.1;;0.0
2025-11-04;02:23;Colina;38;;562.0;53.0;0.9;271.0;14.8;;0.3
2025-11-04;02:23;Movil Fontibon;39;;565.0;0.0;;;12.4;;
2025-11-04;03:33;Usaquen;1;;;;0.7;149.0;10.9;;0.0
2025-11-04;03:33;Carvajal - Sevillana;3;;;;2.1;247.0;10.9;;0.0
2025-11-04;03:33;Tunal;4;76.0;563.0;1.0;0.5;219.0;;;0.0
2025-11-04;03:33;Centro de Alto Rendimiento;5;87.0;565.0;0.0;0.2;85.0;8.1;;0.1
2025-11-04;03:33;Las Ferias;6;72.0;564.0;;0.5;110.0;12.4;;0.0
2025-11-04;03:33;Guaymaral;8;85.0;564.0;0.0;0.6;298.0;9.8;10.1;0.0
2025-11-04;03:33;Kennedy;9;46.2;;615.0;1.7;174.0;;;0.0
2025-11-04;03:33;Suba;11;;;;0.9;359.0;11.1;;0.0
2025-11-04;03:33;Puente Aranda;13;84.0;564.0;0.0;1.1;204.0;12.1;;0.0
2025-11-04;03:33;MinAmbiente;17;;;;-9999.0;-9999.0;;;0.0
2025-11-04;03:33;San Cristobal;24;77.0;;0.0;1.9;113.0;9.2;;0.0
2025-11-04;03:33;Movil 7ma;26;66.3;562.0;0.0;0.0;159.0;13.1;;0.0
2025-11-04;03:33;Bolivia;27;94.0;565.0;0.0;0.8;322.0;12.3;;0.0
2025-11-04;03:33;Fontibon;30;93.0;564.0;;1.0;204.0;11.7;;0.0
2025-11-04;03:33;Usme;32;;562.0;0.0;;;9.9;;0.0
2025-11-04;03:33;Jazmin;34;82.0;564.0;0.0;0.5;234.0;11.6;;0.0
2025-11-04;03:33;Ciudad Bolivar;37;;558.0;0.0;;;10.4;;0.0
2025-11-04;03:33;Colina;38;;562.0;53.0;0.9;271.0;14.8;;0.3
2025-11-04;03:33;Movil Fontibon;39;;565.0;0.0;;;11.6;;
2025-11-04;04:27;Usaquen;1;;;;0.5;108;11.4;;0
2025-11-04;04:27;Carvajal - Sevillana;3;;;;1.8;249;10.8;;0
2025-11-04;04:27;Tunal;4;77;564;1;0.5;213;;;0
2025-11-04;04:27;Centro de Alto Rendimiento;5;88;565;0;0.1;268;8.3;;0
2025-11-04;04:27;Las Ferias;6;75;564;;1.1;219;12.3;;0
2025-11-04;04:27;Guaymaral;8;87;564;0;0.5;229;11;10.9;0
2025-11-04;04:27;Kennedy;9;46.2;;615;1.7;174;;;0
2025-11-04;04:27;Suba;11;;;;0.5;55;11.1;;0
2025-11-04;04:27;Puente Aranda;13;81;564;0;1.2;221;11.9;;0
2025-11-04;04:27;MinAmbiente;17;;;;-9999;-9999;;;0
2025-11-04;04:27;San Cristobal;24;78;;0;1.8;112;9.1;;0
2025-11-04;04:27;Movil 7ma;26;68.9;562;0;0.1;99;12.4;;0
2025-11-04;04:27;Bolivia;27;94;565;0;0.7;312;12.2;;0
2025-11-04;04:27;Fontibon;30;86;565;;1.1;230;11.7;;0
2025-11-04;04:27;Usme;32;;562;0;;;9.4;;0
2025-11-04;04:27;Jazmin;34;82;564;0;0.5;235;11.3;;0
2025-11-04;04:27;Ciudad Bolivar;37;;558;0;;;10.5;;0
2025-11-04;04:27;Colina;38;;562;53;0.9;271;14.8;;0.3
2025-11-04;04:27;Movil Fontibon;39;;565;0;;;11.8;;
