Fecha;Hora;name;stationId;Temperatura 8M;Humedad;Temperatura;Dir Viento;Lluvia;Rad Solar;Presion Baro;Vel Viento
2025-11-13;12:23;Ciudad Bolivar;37;;;17.5;;0.0;494.0;557.0;
2025-11-13;12:23;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;12:23;Movil Fontibon;39;;;17.1;;;408.0;564.0;
2025-11-13;13:34;Usaquen;1;;;17.8;155.0;0.0;;;1.7
2025-11-13;13:34;Carvajal - Sevillana;3;;;18.8;145.0;0.0;;;2.3
2025-11-13;13:34;Tunal;4;;57.0;;150.0;0.1;501.0;562.0;1.5
2025-11-13;13:34;Centro de Alto Rendimiento;5;;71.0;16.0;319.0;1.2;453.0;564.0;1.0
2025-11-13;13:34;Las Ferias;6;;67.0;17.3;205.0;0.3;;563.0;0.4
2025-11-13;13:34;Guaymaral;8;19.1;52.0;20.5;59.0;0.0;435.0;563.0;1.7
2025-11-13;13:34;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;13:34;Suba;11;;;19.1;30.0;0.0;;;0.6
2025-11-13;13:34;Puente Aranda;13;;84.0;16.4;14.0;0.0;413.0;563.0;1.8
2025-11-13;13:34;MinAmbiente;17;;;;-9999.0;0.5;;;-9999.0
2025-11-13;13:34;San Cristobal;24;;66.0;16.3;110.0;0.0;271.0;;1.8
2025-11-13;13:34;Movil 7ma;26;;63.4;-61.5;78.0;0.3;394.0;561.0;0.7
2025-11-13;13:34;Bolivia;27;;79.0;16.2;188.0;0.3;330.0;564.0;1.4
2025-11-13;13:34;Fontibon;30;;82.0;14.8;56.0;2.0;;564.0;2.2
2025-11-13;13:34;Usme;32;;;17.3;;0.1;465.0;561.0;
2025-11-13;13:34;Jazmin;34;;78.0;16.8;3.0;0.1;471.0;563.0;2.0
2025-11-13;13:34;Ciudad Bolivar;37;;;16.8;;0.0;296.0;557.0;
2025-11-13;13:34;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;13:34;Movil Fontibon;39;;;15.3;;;274.0;564.0;
2025-11-13;14:19;Usaquen;1;;;18.2;132;0;;;1.3
2025-11-13;14:19;Carvajal - Sevillana;3;;;22.6;50;0;;;0.7
2025-11-13;14:19;Tunal;4;;50;;230;0;899;562;1.5
2025-11-13;14:19;Centro de Alto Rendimiento;5;;59;17.8;307;0.1;387;564;1.7
2025-11-13;14:19;Las Ferias;6;;54;20.2;262;0;;562;1.3
2025-11-13;14:19;Guaymaral;8;18.8;50;20.3;54;0;416;562;2.8
2025-11-13;14:19;Kennedy;9;;46.2;;174;0;615;;1.7
2025-11-13;14:19;Suba;11;;;20.9;220;1.5;;;0.7
2025-11-13;14:19;Puente Aranda;13;;70;18.4;125;0.1;357;562;1.2
2025-11-13;14:19;MinAmbiente;17;;;;-9999;0;;;-9999
2025-11-13;14:19;San Cristobal;24;;50;19.9;131;0;534;;1.7
2025-11-13;14:19;Movil 7ma;26;;55.2;16.3;12;0;434;561;0.3
2025-11-13;14:19;Bolivia;27;;75;17.3;275;0.7;502;563;1.3
2025-11-13;14:19;Fontibon;30;;67;17.8;11;0;;563;1.1
2025-11-13;14:19;Usme;32;;;18.6;;0;431;561;
2025-11-13;14:19;Jazmin;34;;61;19;296;0;558;562;1.6
2025-11-13;14:19;Ciudad Bolivar;37;;;17.2;;0;365;556;
2025-11-13;14:19;Colina;38;;;14.8;271;0.3;53;562;0.9
2025-11-13;14:19;Movil Fontibon;39;;;17.7;;;464;563;
