Fecha;Hora;name;stationId;Presion Baro;Vel Viento;Lluvia;Humedad;Temperatura;Temperatura 8M;Dir Viento;Rad Solar
2026-01-09;11:34;San Cristobal;24;;2.4;0.0;52.0;17.5;;99.0;588.0
2026-01-09;11:34;Movil 7ma;26;562.0;0.8;0.0;43.7;19.7;;251.0;607.0
2026-01-09;11:34;Bolivia;27;565.0;2.1;0.0;64.0;17.6;;110.0;613.0
2026-01-09;11:34;Fontibon;30;564.0;4.0;0.0;49.0;18.1;;94.0;
2026-01-09;11:34;Usme;32;562.0;;0.0;;17.8;;;681.0
2026-01-09;11:34;Jazmin;34;564.0;2.6;0.0;47.0;19.5;;145.0;1061.0
2026-01-09;11:34;Ciudad Bolivar;37;558.0;;0.0;;17.5;;;716.0
2026-01-09;11:34;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;11:34;Movil Fontibon;39;565.0;;;;18.4;;;550.0
2026-01-09;12:27;Usaquen;1;;2.3;0.0;;19.8;;172.0;
2026-01-09;12:27;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;12:27;Tunal;4;563.0;1.6;0.0;44.0;;;184.0;439.0
2026-01-09;12:27;Centro de Alto Rendimiento;5;565.0;3.0;0.0;49.0;19.6;;143.0;404.0
2026-01-09;12:27;Las Ferias;6;564.0;2.7;0.0;43.0;20.4;;58.0;
2026-01-09;12:27;Guaymaral;8;563.0;1.8;0.0;48.0;19.8;18.8;107.0;287.0
2026-01-09;12:27;Kennedy;9;;1.1;0.0;42.0;;;185.0;732.0
2026-01-09;12:27;Suba;11;;2.2;0.0;;19.3;;47.0;
2026-01-09;12:27;Puente Aranda;13;563.0;1.7;0.0;54.0;18.3;;100.0;233.0
2026-01-09;12:27;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;12:27;San Cristobal;24;;2.7;0.0;48.0;19.3;;116.0;808.0
2026-01-09;12:27;Movil 7ma;26;562.0;1.3;0.0;41.9;20.6;;257.0;644.0
2026-01-09;12:27;Bolivia;27;564.0;2.2;0.0;60.0;18.6;;117.0;719.0
2026-01-09;12:27;Fontibon;30;564.0;3.1;0.0;47.0;18.6;;104.0;
2026-01-09;12:27;Usme;32;562.0;;0.0;;18.7;;;669.0
2026-01-09;12:27;Jazmin;34;564.0;3.1;0.0;47.0;19.6;;144.0;689.0
2026-01-09;12:27;Ciudad Bolivar;37;557.0;;0.0;;18.6;;;815.0
2026-01-09;12:27;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;12:27;Movil Fontibon;39;564.0;;;;18.8;;;423.0
2026-01-09;13:39;Usaquen;1;;3.1;0.0;;18.9;;133.0;
2026-01-09;13:39;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
