Fecha;Hora;name;stationId;Lluvia;Vel Viento;Temperatura 8M;Dir Viento;Temperatura;Humedad;Presion Baro;Rad Solar
2025-12-27;05:25;Jazmin;34;0.0;0.7;;237.0;11.9;81.0;563.0;0.0
2025-12-27;05:25;Ciudad Bolivar;37;0.0;;;;10.0;;556.0;0.0
2025-12-27;05:25;Colina;38;0.3;0.9;;271.0;14.8;;562.0;53.0
2025-12-27;05:25;Movil Fontibon;39;;;;;11.5;;563.0;0.0
2025-12-27;06:20;Usaquen;1;0.0;0.5;;34.0;10.0;;;
2025-12-27;06:20;Carvajal - Sevillana;3;0.0;1.0;;306.0;11.5;;;
2025-12-27;06:20;Tunal;4;0.0;1.0;;187.0;;64.0;563.0;0.0
2025-12-27;06:20;Centro de Alto Rendimiento;5;0.0;0.0;;8.0;5.3;86.0;564.0;0.0
2025-12-27;06:20;Las Ferias;6;0.0;0.4;;30.0;9.8;80.0;563.0;
2025-12-27;06:20;Guaymaral;8;0.0;0.7;10.0;277.0;10.0;82.0;563.0;0.0
2025-12-27;06:20;Kennedy;9;0.0;0.5;;309.0;;87.8;;0.0
2025-12-27;06:20;Suba;11;0.0;1.1;;38.0;9.2;;;
2025-12-27;06:20;Puente Aranda;13;0.0;1.3;;229.0;12.4;82.0;563.0;0.0
2025-12-27;06:20;MinAmbiente;17;0.0;-9999.0;;-9999.0;;;;
2025-12-27;06:20;San Cristobal;24;0.0;2.0;;108.0;8.2;81.0;;0.0
2025-12-27;06:20;Movil 7ma;26;0.0;0.3;;246.0;11.5;68.4;561.0;0.0
2025-12-27;06:20;Bolivia;27;0.0;1.7;;55.0;11.2;89.0;564.0;0.0
2025-12-27;06:20;Fontibon;30;0.0;0.6;;256.0;10.4;89.0;564.0;
2025-12-27;06:20;Usme;32;0.0;;;;9.0;;561.0;0.0
2025-12-27;06:20;Jazmin;34;0.0;0.5;;298.0;11.9;80.0;563.0;0.0
2025-12-27;06:20;Ciudad Bolivar;37;0.0;;;;10.3;;557.0;0.0
2025-12-27;06:20;Colina;38;0.3;0.9;;271.0;14.8;;562.0;53.0
2025-12-27;06:20;Movil Fontibon;39;;;;;10.4;;564.0;0.0
2025-12-27;07:49;Usaquen;1;0.0;0.8;;282.0;10.7;;;
2025-12-27;07:49;Carvajal - Sevillana;3;0.0;1.1;;258.0;11.7;;;
2025-12-27;07:49;Tunal;4;0.0;1.0;;187.0;;64.0;563.0;0.0
2025-12-27;07:49;Centro de Alto Rendimiento;5;0.0;0.0;;0.0;5.1;87.0;565.0;27.0
2025-12-27;07:49;Las Ferias;6;0.0;1.3;;34.0;10.2;77.0;563.0;
2025-12-27;07:49;Guaymaral;8;0.0;0.8;11.4;236.0;11.2;83.0;563.0;25.0
2025-12-27;07:49;Kennedy;9;0.0;0.5;;346.0;;87.7;;22.0
2025-12-27;07:49;Suba;11;0.0;1.0;;19.0;9.9;;;
2025-12-27;07:49;Puente Aranda;13;0.0;0.9;;4.0;12.8;88.0;563.0;26.0
