Fecha;Hora;name;stationId;Lluvia;Rad Solar;Temperatura;Vel Viento;Dir Viento;Humedad;Presion Baro;Temperatura 8M
2025-12-06;06:19;Movil Fontibon;39;;1.0;12.3;;;;564.0;
2025-12-06;13:32;Usaquen;1;0.0;;20.1;2.1;239.0;;;
2025-12-06;13:32;Carvajal - Sevillana;3;0.0;;20.7;3.5;23.0;;;
2025-12-06;13:32;Tunal;4;0.0;464.0;;3.4;281.0;52.0;563.0;
2025-12-06;13:32;Centro de Alto Rendimiento;5;0.0;195.0;19.8;3.9;295.0;52.0;565.0;
2025-12-06;13:32;Las Ferias;6;0.0;;19.9;3.0;232.0;47.0;564.0;
2025-12-06;13:32;Guaymaral;8;0.0;307.0;21.5;1.5;266.0;35.0;563.0;20.9
2025-12-06;13:32;Kennedy;9;0.0;448.0;;3.2;284.0;54.1;;
2025-12-06;13:32;Suba;11;0.0;;24.0;1.6;284.0;;;
2025-12-06;13:32;Puente Aranda;13;0.0;236.0;18.4;3.0;252.0;59.0;563.0;
2025-12-06;13:32;MinAmbiente;17;0.0;;;-9999.0;-9999.0;;;
2025-12-06;13:32;San Cristobal;24;0.0;102.0;18.2;1.4;301.0;53.0;;
2025-12-06;13:32;Movil 7ma;26;0.0;150.0;21.2;1.3;304.0;42.3;562.0;
2025-12-06;13:32;Bolivia;27;0.0;754.0;19.6;2.6;276.0;58.0;564.0;
2025-12-06;13:32;Fontibon;30;0.0;;18.9;6.1;250.0;55.0;564.0;
2025-12-06;13:32;Usme;32;0.0;225.0;18.6;;;;562.0;
2025-12-06;13:32;Jazmin;34;0.0;303.0;18.7;3.2;272.0;56.0;564.0;
2025-12-06;13:32;Ciudad Bolivar;37;0.0;412.0;17.2;;;;557.0;
2025-12-06;13:32;Colina;38;0.3;53.0;14.8;0.9;271.0;;562.0;
2025-12-06;13:32;Movil Fontibon;39;;1.0;12.3;;;;564.0;
2025-12-06;14:18;Usaquen;1;0.0;;17.6;1.9;229.0;;;
2025-12-06;14:18;Carvajal - Sevillana;3;0.0;;19.8;3.7;28.0;;;
2025-12-06;14:18;Tunal;4;0.0;197.0;;3.0;283.0;57.0;563.0;
2025-12-06;14:18;Centro de Alto Rendimiento;5;0.2;174.0;18.0;3.4;302.0;58.0;564.0;
2025-12-06;14:18;Las Ferias;6;4.6;;15.2;2.1;200.0;69.0;563.0;
2025-12-06;14:18;Guaymaral;8;0.0;47.0;19.3;1.8;250.0;46.0;563.0;18.9
2025-12-06;14:18;Kennedy;9;0.0;384.0;;3.3;286.0;58.7;;
2025-12-06;14:18;Suba;11;0.0;;20.2;2.1;234.0;;;
2025-12-06;14:18;Puente Aranda;13;0.0;248.0;18.0;3.3;252.0;63.0;563.0;
2025-12-06;14:18;MinAmbiente;17;0.6;;;-9999.0;-9999.0;;;
2025-12-06;14:18;San Cristobal;24;0.0;71.0;16.5;0.9;315.0;65.0;;
2025-12-06;14:18;Movil 7ma;26;0.0;222.0;19.7;1.1;318.0;46.1;562.0;
2025-12-06;14:18;Bolivia;27;0.0;201.0;18.4;2.7;271.0;63.0;564.0;
2025-12-06;14:18;Fontibon;30;0.0;;17.8;6.2;245.0;56.0;564.0;
2025-12-06;14:18;Usme;32;0.1;76.0;17.7;;;;562.0;
2025-12-06;14:18;Jazmin;34;0.0;305.0;18.2;3.3;275.0;62.0;563.0;
2025-12-06;14:18;Ciudad Bolivar;37;0.0;191.0;16.8;;;;557.0;
2025-12-06;14:18;Colina;38;0.3;53.0;14.8;0.9;271.0;;562.0;
2025-12-06;14:18;Movil Fontibon;39;;1.0;12.3;;;;564.0;
2025-12-06;15:25;Usaquen;1;0.0;;19.0;2.0;256.0;;;
2025-12-06;15:25;Carvajal - Sevillana;3;0.0;;20.1;3.8;20.0;;;
2025-12-06;15:25;Tunal;4;0.0;457.0;;2.2;240.0;55.0;562.0;
2025-12-06;15:25;Centro de Alto Rendimiento;5;0.1;282.0;19.3;4.7;294.0;57.0;564.0;
2025-12-06;15:25;Las Ferias;6;0.0;;18.9;3.4;212.0;54.0;563.0;
2025-12-06;15:25;Guaymaral;8;0.0;109.0;16.9;1.0;140.0;67.0;563.0;16.6
2025-12-06;15:25;Kennedy;9;0.0;459.0;;3.4;278.0;58.4;;
2025-12-06;15:25;Suba;11;0.0;;18.4;1.7;226.0;;;
