Fecha;Hora;name;stationId;Vel Viento;Humedad;Lluvia;Rad Solar;Dir Viento;Temperatura;Presion Baro;Temperatura 8M
2025-11-28;03:33;Las Ferias;6;1.2;68.0;0.0;;347.0;13.2;563.0;
2025-11-28;03:33;Guaymaral;8;0.4;76.0;0.0;0.0;326.0;11.9;563.0;11.7
2025-11-28;03:33;Kennedy;9;0.5;73.5;0.0;0.0;252.0;;;
2025-11-28;03:33;Suba;11;1.1;;0.0;;27.0;11.8;;
2025-11-28;03:33;Puente Aranda;13;1.2;79.0;0.0;0.0;212.0;14.4;563.0;
2025-11-28;03:33;MinAmbiente;17;-9999.0;;0.0;;-9999.0;;;
2025-11-28;03:33;San Cristobal;24;0.8;72.0;0.0;0.0;107.0;11.8;;
2025-11-28;03:33;Movil 7ma;26;0.4;62.2;0.0;0.0;161.0;11.6;561.0;
2025-11-28;03:33;Bolivia;27;1.5;74.0;0.0;0.0;49.0;14.9;564.0;
2025-11-28;03:33;Fontibon;30;0.4;76.0;0.0;;35.0;13.0;563.0;
2025-11-28;03:33;Usme;32;;;0.0;0.0;;13.1;561.0;
2025-11-28;03:33;Jazmin;34;0.5;77.0;0.0;0.0;217.0;14.3;563.0;
2025-11-28;03:33;Ciudad Bolivar;37;;;0.0;0.0;;13.0;556.0;
2025-11-28;03:33;Colina;38;0.9;;0.3;53.0;271.0;14.8;562.0;
2025-11-28;03:33;Movil Fontibon;39;;;;0.0;;13.5;564.0;
2025-11-28;04:26;Usaquen;1;2.9;;0.0;;135.0;13.1;;
2025-11-28;04:26;Carvajal - Sevillana;3;2.5;;0.0;;246.0;14.4;;
2025-11-28;04:26;Tunal;4;1.1;74.0;0.0;1.0;166.0;;562.0;
2025-11-28;04:26;Centro de Alto Rendimiento;5;1.4;81.0;0.0;0.0;7.0;12.4;564.0;
2025-11-28;04:26;Las Ferias;6;1.5;67.0;0.0;;342.0;13.5;563.0;
2025-11-28;04:26;Guaymaral;8;0.9;78.0;0.0;0.0;333.0;11.9;563.0;11.8
2025-11-28;04:26;Kennedy;9;0.8;75.4;0.0;0.0;172.0;;;
2025-11-28;04:26;Suba;11;1.8;;0.0;;11.0;11.6;;
2025-11-28;04:26;Puente Aranda;13;0.9;78.0;0.0;0.0;239.0;14.5;563.0;
2025-11-28;04:26;MinAmbiente;17;-9999.0;;0.0;;-9999.0;;;
2025-11-28;04:26;San Cristobal;24;1.3;68.0;0.0;0.0;102.0;12.5;;
2025-11-28;04:26;Movil 7ma;26;0.5;58.8;0.0;0.0;274.0;12.4;561.0;
2025-11-28;04:26;Bolivia;27;1.5;74.0;0.0;0.0;49.0;14.9;564.0;
2025-11-28;04:26;Fontibon;30;1.7;77.0;0.0;;31.0;13.1;564.0;
2025-11-28;04:26;Usme;32;;;0.0;0.0;;13.7;561.0;
2025-11-28;04:26;Jazmin;34;0.5;75.0;0.0;0.0;238.0;14.3;563.0;
2025-11-28;04:26;Ciudad Bolivar;37;;;0.0;0.0;;13.5;556.0;
2025-11-28;04:26;Colina;38;0.9;;0.3;53.0;271.0;14.8;562.0;
2025-11-28;04:26;Movil Fontibon;39;;;;0.0;;13.7;564.0;
2025-11-28;05:27;Usaquen;1;2.4;;0.0;;110.0;13.1;;
2025-11-28;05:27;Carvajal - Sevillana;3;2.6;;0.0;;242.0;14.3;;
2025-11-28;05:27;Tunal;4;0.9;74.0;0.0;1.0;180.0;;563.0;
2025-11-28;05:27;Centro de Alto Rendimiento;5;0.8;77.0;0.0;0.0;248.0;13.1;564.0;
2025-11-28;05:27;Las Ferias;6;1.5;64.0;0.0;;29.0;13.7;563.0;
2025-11-28;05:27;Guaymaral;8;0.7;78.0;0.0;0.0;318.0;12.2;563.0;12.2
2025-11-28;05:27;Kennedy;9;1.1;74.6;0.0;0.0;101.0;;;
2025-11-28;05:27;Suba;11;1.8;;0.0;;13.0;11.5;;
2025-11-28;05:27;Puente Aranda;13;0.8;78.0;0.0;0.0;250.0;14.7;563.0;
2025-11-28;05:27;MinAmbiente;17;-9999.0;;0.0;;-9999.0;;;
2025-11-28;05:27;San Cristobal;24;1.0;70.0;0.0;0.0;93.0;12.5;;
