Fecha;Hora;name;stationId;Dir Viento;Humedad;Rad Solar;Temperatura 8M;Temperatura;Vel Viento;Presion Baro;Lluvia
2025-11-07;02:23;Jazmin;34;145.0;90.0;0.0;;11.6;0.4;564.0;0.0
2025-11-07;02:23;Ciudad Bolivar;37;;;0.0;;11.1;;557.0;0.0
2025-11-07;02:23;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;02:23;Movil Fontibon;39;;;0.0;;11.9;;565.0;
2025-11-07;03:32;Usaquen;1;91.0;;;;11.5;1.3;;0.0
2025-11-07;03:32;Carvajal - Sevillana;3;287.0;;;;11.7;0.5;;0.0
2025-11-07;03:32;Tunal;4;168.0;80.0;1.0;;;0.9;563.0;0.0
2025-11-07;03:32;Centro de Alto Rendimiento;5;217.0;87.0;0.0;;7.5;0.3;565.0;0.0
2025-11-07;03:32;Las Ferias;6;341.0;81.0;;;10.5;1.0;564.0;0.0
2025-11-07;03:32;Guaymaral;8;308.0;85.0;0.0;8.7;8.6;0.7;564.0;0.0
2025-11-07;03:32;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;03:32;Suba;11;35.0;;;;9.1;1.3;;0.0
2025-11-07;03:32;Puente Aranda;13;306.0;92.0;0.0;;12.6;0.8;563.0;0.0
2025-11-07;03:32;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;03:32;San Cristobal;24;115.0;81.0;0.0;;9.3;1.5;;0.0
2025-11-07;03:32;Movil 7ma;26;176.0;68.0;0.0;;10.6;0.7;562.0;0.0
2025-11-07;03:32;Bolivia;27;355.0;91.0;0.0;;10.5;0.9;565.0;0.0
2025-11-07;03:32;Fontibon;30;26.0;89.0;;;11.0;1.2;564.0;0.0
2025-11-07;03:32;Usme;32;;;0.0;;11.7;;562.0;0.0
2025-11-07;03:32;Jazmin;34;261.0;91.0;0.0;;11.5;0.5;564.0;0.0
2025-11-07;03:32;Ciudad Bolivar;37;;;0.0;;10.6;;557.0;0.0
2025-11-07;03:32;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;03:32;Movil Fontibon;39;;;0.0;;11.7;;564.0;
2025-11-07;04:25;Usaquen;1;358.0;;;;11.2;1.3;;0.0
2025-11-07;04:25;Carvajal - Sevillana;3;56.0;;;;10.4;1.3;;0.0
2025-11-07;04:25;Tunal;4;285.0;81.0;1.0;;;0.5;563.0;0.0
2025-11-07;04:25;Centro de Alto Rendimiento;5;273.0;87.0;0.0;;7.1;0.3;565.0;0.0
