Fecha;Hora;name;stationId;CO;SO2;NO2;NO;OZONO;NOX;PM25;BBP;eBC;PM10
2025-11-20;12:19;Kennedy;9;0.91;0.9;16.9;6.4;20.3;23.4;17.7;4.3;2.9;56.3
2025-11-20;12:19;Suba;11;0.3;0.7;5.1;3.3;14.8;8.4;6.0;;;59.9
2025-11-20;12:19;Puente Aranda;13;0.3;1.4;25.0;14.6;9.7;39.5;20.8;0.1;-9999.0;75.7
2025-11-20;12:19;MinAmbiente;17;0.34;0.5;6.3;5.1;16.6;11.4;1.0;;;43.0
2025-11-20;12:19;San Cristobal;24;0.32;-0.2;-9999.0;-9999.0;17.1;-9999.0;9.0;10.8;0.7;9.0
2025-11-20;12:19;Movil 7ma;26;-9999.0;;;;;;19.4;;;41.0
2025-11-20;12:19;Bolivia;27;0.97;;23.4;4.6;2.8;28.0;7.8;;;63.5
2025-11-20;12:19;Fontibon;30;0.45;-9999.0;26.5;6.2;21.4;32.7;24.0;3.0;4.8;-9999.0
2025-11-20;12:19;Usme;32;0.2;2.7;5.9;6.4;22.0;12.3;6.6;;;27.8
2025-11-20;12:19;Jazmin;34;0.38;1.2;8.9;4.4;17.3;13.3;23.3;;;64.7
2025-11-20;12:19;Ciudad Bolivar;37;0.25;1.3;12.5;16.0;22.3;28.4;19.6;7.5;1.4;55.7
2025-11-20;12:19;Colina;38;0.7;0.4;62.8;23.5;-9999.0;86.3;8.0;;;2.4
2025-11-20;12:19;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;;-9999.0;20.3;;;87.8
2025-11-20;13:35;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;9.6;;;8.9
2025-11-20;13:35;Carvajal - Sevillana;3;0.71;3.2;;;;;39.0;;;70.0
2025-11-20;13:35;Tunal;4;-9999.0;2.4;15.1;22.7;19.8;37.8;0.0;4.3;6.7;25.0
2025-11-20;13:35;Centro de Alto Rendimiento;5;0.5;1.7;17.6;6.3;0.0;23.9;23.4;7.3;6.6;54.4
2025-11-20;13:35;Las Ferias;6;0.69;;29.0;19.8;21.9;48.9;18.0;;;17.3
2025-11-20;13:35;Guaymaral;8;0.21;0.7;4.4;12.5;27.3;17.0;2.0;;;29.0
2025-11-20;13:35;Kennedy;9;0.83;0.9;10.9;3.7;29.7;14.6;19.3;7.0;2.1;60.1
2025-11-20;13:35;Suba;11;0.51;1.5;14.2;5.6;18.3;19.8;27.0;;;42.8
2025-11-20;13:35;Puente Aranda;13;0.29;1.8;24.1;10.7;15.8;34.8;16.6;0.1;-9999.0;56.4
2025-11-20;13:35;MinAmbiente;17;0.55;0.6;17.9;7.9;18.8;25.7;15.0;;;21.0
2025-11-20;13:35;San Cristobal;24;0.36;0.5;-9999.0;-9999.0;20.4;-9999.0;5.0;19.6;0.8;24.0
2025-11-20;13:35;Movil 7ma;26;-9999.0;;;;;;67.0;;;22.3
2025-11-20;13:35;Bolivia;27;0.72;;16.6;5.0;15.3;21.5;7.1;;;61.4
2025-11-20;13:35;Fontibon;30;0.27;-9999.0;14.4;5.4;27.0;19.8;26.0;4.7;3.9;-9999.0
2025-11-20;13:35;Usme;32;0.25;1.0;8.2;5.6;23.4;13.9;5.4;;;15.0
2025-11-20;13:35;Jazmin;34;0.46;1.8;19.1;7.1;20.3;26.2;33.1;;;49.0
2025-11-20;13:35;Ciudad Bolivar;37;0.39;2.2;23.8;21.8;27.1;45.6;16.8;2.9;3.4;48.2
2025-11-20;13:35;Colina;38;0.7;0.4;62.8;23.5;-9999.0;86.3;8.0;;;2.4
2025-11-20;13:35;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;;-9999.0;20.2;;;109.7
2025-11-20;14:19;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;14.0;;;32.7
2025-11-20;14:19;Carvajal - Sevillana;3;0.78;2.4;;;;;28.0;;;68.0
2025-11-20;14:19;Tunal;4;-9999.0;1.9;12.1;19.5;22.0;31.6;0.0;2.7;5.1;63.0
2025-11-20;14:19;Centro de Alto Rendimiento;5;0.43;1.7;14.3;3.1;0.0;17.3;17.0;11.1;4.6;53.4
2025-11-20;14:19;Las Ferias;6;0.61;;28.2;10.5;21.5;38.7;29.0;;;18.6
2025-11-20;14:19;Guaymaral;8;0.21;0.7;4.4;12.5;27.3;17.0;2.0;;;29.0
2025-11-20;14:19;Kennedy;9;0.8;0.5;8.4;2.6;28.8;11.0;25.3;4.7;1.9;42.8
2025-11-20;14:19;Suba;11;0.45;1.6;9.3;2.3;26.7;11.6;21.0;;;43.1
2025-11-20;14:19;Puente Aranda;13;0.26;1.5;23.1;7.8;16.6;30.9;25.6;0.1;-9999.0;47.9
2025-11-20;14:19;MinAmbiente;17;0.74;0.8;29.7;8.7;18.6;38.4;17.0;;;54.0
2025-11-20;14:19;San Cristobal;24;0.47;0.8;-9999.0;-9999.0;22.7;-9999.0;10.0;4.3;1.9;38.0
2025-11-20;14:19;Movil 7ma;26;-9999.0;;;;;;77.5;;;45.7
2025-11-20;14:19;Bolivia;27;0.71;;15.2;3.0;19.9;18.2;17.3;;;65.5
2025-11-20;14:19;Fontibon;30;0.23;-9999.0;10.9;3.0;31.0;13.9;15.0;4.7;2.4;-9999.0
2025-11-20;14:19;Usme;32;0.29;1.7;12.2;3.5;27.8;15.6;4.8;;;24.6
2025-11-20;14:19;Jazmin;34;0.39;1.3;15.8;4.3;22.3;20.1;23.2;;;49.9
2025-11-20;14:19;Ciudad Bolivar;37;0.32;1.6;16.8;16.7;28.3;33.5;29.7;3.3;2.6;53.0
2025-11-20;14:19;Colina;38;0.7;0.4;62.8;23.5;-9999.0;86.3;8.0;;;2.4
