Fecha;Hora;name;stationId;Vel Viento;Dir Viento;Rad Solar;Temperatura;Lluvia;Temperatura 8M;Presion Baro;Humedad
2026-01-13;11:38;Tunal;4;1.3;212.0;568.0;;0.0;;563.0;45.0
2026-01-13;11:38;Centro de Alto Rendimiento;5;1.1;26.0;268.0;19.3;0.0;;565.0;50.0
2026-01-13;11:38;Las Ferias;6;1.6;26.0;;19.4;0.0;;564.0;47.0
2026-01-13;11:38;Guaymaral;8;2.0;64.0;487.0;20.5;0.0;19.0;564.0;48.0
2026-01-13;11:38;Kennedy;9;1.1;121.0;649.0;;0.0;;;47.6
2026-01-13;11:38;Suba;11;2.2;2.0;;18.1;0.0;;;
2026-01-13;11:38;Puente Aranda;13;1.6;231.0;511.0;18.4;0.0;;564.0;55.0
2026-01-13;11:38;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;11:38;San Cristobal;24;1.4;121.0;443.0;18.5;0.0;;;49.0
2026-01-13;11:38;Movil 7ma;26;0.3;287.0;165.0;19.4;0.0;;562.0;44.9
2026-01-13;11:38;Bolivia;27;2.0;45.0;462.0;17.0;0.0;;565.0;68.0
2026-01-13;11:38;Fontibon;30;2.3;36.0;;18.1;0.0;;564.0;53.0
2026-01-13;11:38;Usme;32;;;571.0;18.5;0.0;;562.0;
2026-01-13;11:38;Jazmin;34;1.0;261.0;529.0;18.6;0.0;;564.0;51.0
2026-01-13;11:38;Ciudad Bolivar;37;;;669.0;18.1;0.0;;557.0;
2026-01-13;11:38;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;11:38;Movil Fontibon;39;;;561.0;17.9;;;565.0;
2026-01-13;12:31;Usaquen;1;3.3;120.0;;18.7;0.0;;;
2026-01-13;12:31;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;12:31;Tunal;4;1.2;229.0;605.0;;0.0;;563.0;42.0
2026-01-13;12:31;Centro de Alto Rendimiento;5;1.8;109.0;399.0;20.0;0.0;;564.0;47.0
2026-01-13;12:31;Las Ferias;6;2.3;55.0;;20.8;0.0;;563.0;43.0
2026-01-13;12:31;Guaymaral;8;1.8;115.0;319.0;20.0;0.0;19.2;563.0;46.0
2026-01-13;12:31;Kennedy;9;2.0;302.0;385.0;;0.0;;;45.6
2026-01-13;12:31;Suba;11;2.6;32.0;;19.2;0.0;;;
2026-01-13;12:31;Puente Aranda;13;1.4;97.0;333.0;19.1;0.0;;563.0;51.0
2026-01-13;12:31;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;12:31;San Cristobal;24;1.9;123.0;649.0;20.1;0.0;;;44.0
2026-01-13;12:31;Movil 7ma;26;0.4;185.0;247.0;20.1;0.0;;562.0;43.1
2026-01-13;12:31;Bolivia;27;2.4;58.0;634.0;18.2;0.0;;564.0;62.0
2026-01-13;12:31;Fontibon;30;2.4;60.0;;19.3;0.0;;564.0;46.0
2026-01-13;12:31;Usme;32;;;652.0;19.7;0.0;;562.0;
2026-01-13;12:31;Jazmin;34;1.6;237.0;781.0;20.0;0.0;;563.0;46.0
2026-01-13;12:31;Ciudad Bolivar;37;;;466.0;17.5;0.0;;557.0;
2026-01-13;12:31;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;12:31;Movil Fontibon;39;;;412.0;19.1;;;564.0;
2026-01-13;13:37;Usaquen;1;2.2;123.0;;18.7;0.0;;;
2026-01-13;13:37;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;13:37;Tunal;4;3.0;287.0;315.0;;0.0;;562.0;52.0
2026-01-13;13:37;Centro de Alto Rendimiento;5;2.9;145.0;136.0;18.5;0.0;;564.0;52.0
2026-01-13;13:37;Las Ferias;6;3.1;54.0;;19.7;0.0;;563.0;46.0
2026-01-13;13:37;Guaymaral;8;2.1;101.0;595.0;21.7;0.0;20.3;563.0;44.0
2026-01-13;13:37;Kennedy;9;3.1;259.0;87.0;;0.0;;;63.8
2026-01-13;13:37;Suba;11;2.5;14.0;;20.0;0.0;;;
2026-01-13;13:37;Puente Aranda;13;1.7;273.0;81.0;18.4;0.0;;563.0;63.0
2026-01-13;13:37;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;13:37;San Cristobal;24;2.9;114.0;433.0;18.3;0.0;;;50.0
2026-01-13;13:37;Movil 7ma;26;1.8;238.0;107.0;18.9;0.0;;561.0;45.6
2026-01-13;13:37;Bolivia;27;2.1;87.0;274.0;18.7;0.0;;564.0;60.0
2026-01-13;13:37;Fontibon;30;1.7;222.0;;17.8;0.0;;563.0;58.0
2026-01-13;13:37;Usme;32;;;474.0;19.9;0.0;;561.0;
2026-01-13;13:37;Jazmin;34;1.9;270.0;133.0;18.6;0.0;;563.0;60.0
2026-01-13;13:37;Ciudad Bolivar;37;;;141.0;16.0;0.0;;557.0;
2026-01-13;13:37;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;13:37;Movil Fontibon;39;;;98.0;17.8;;;564.0;
2026-01-13;14:24;Usaquen;1;3.2;145.0;;18.2;0.0;;;
2026-01-13;14:24;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;14:24;Tunal;4;1.7;221.0;377.0;;0.0;;561.0;48.0
2026-01-13;14:24;Centro de Alto Rendimiento;5;3.2;293.0;162.0;17.7;0.0;;563.0;64.0
2026-01-13;14:24;Las Ferias;6;1.9;185.0;;19.1;0.0;;562.0;52.0
2026-01-13;14:24;Guaymaral;8;1.5;146.0;170.0;20.6;0.0;20.0;562.0;42.0
2026-01-13;14:24;Kennedy;9;2.7;268.0;121.0;;0.0;;;76.4
2026-01-13;14:24;Suba;11;0.7;274.0;;19.1;0.0;;;
2026-01-13;14:24;Puente Aranda;13;2.8;261.0;99.0;15.5;0.8;;562.0;91.0
2026-01-13;14:24;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;14:24;San Cristobal;24;1.0;77.0;534.0;19.7;0.0;;;50.0
2026-01-13;14:24;Movil 7ma;26;0.5;287.0;290.0;19.0;0.0;;561.0;51.2
2026-01-13;14:24;Bolivia;27;2.2;226.0;145.0;16.9;0.0;;563.0;73.0
2026-01-13;14:24;Fontibon;30;4.8;238.0;;15.0;1.2;;563.0;82.0
2026-01-13;14:24;Usme;32;;;518.0;19.5;0.0;;560.0;
2026-01-13;14:24;Jazmin;34;2.5;295.0;313.0;17.0;0.0;;562.0;79.0
2026-01-13;14:24;Ciudad Bolivar;37;;;367.0;16.1;0.0;;556.0;
2026-01-13;14:24;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;14:24;Movil Fontibon;39;;;134.0;15.6;;;563.0;
2026-01-13;15:31;Usaquen;1;3.0;139.0;;18.0;0.0;;;
2026-01-13;15:31;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;15:31;Tunal;4;1.8;286.0;421.0;;0.0;;561.0;49.0
2026-01-13;15:31;Centro de Alto Rendimiento;5;3.3;300.0;476.0;19.9;0.0;;563.0;60.0
2026-01-13;15:31;Las Ferias;6;2.4;228.0;;21.0;0.0;;561.0;50.0
2026-01-13;15:31;Guaymaral;8;2.3;110.0;289.0;19.9;0.0;19.3;561.0;48.0
2026-01-13;15:31;Kennedy;9;2.4;297.0;515.0;;0.0;;;66.0
2026-01-13;15:31;Suba;11;0.6;347.0;;18.8;0.0;;;
2026-01-13;15:31;Puente Aranda;13;2.0;259.0;580.0;17.9;0.0;;561.0;76.0
2026-01-13;15:31;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;15:31;San Cristobal;24;1.1;40.0;142.0;17.5;0.0;;;59.0
2026-01-13;15:31;Movil 7ma;26;1.3;306.0;241.0;19.0;0.0;;560.0;55.3
2026-01-13;15:31;Bolivia;27;1.8;239.0;382.0;17.4;0.0;;563.0;75.0
2026-01-13;15:31;Fontibon;30;3.7;240.0;;17.3;0.0;;562.0;73.0
2026-01-13;15:31;Usme;32;;;467.0;19.8;0.0;;560.0;
2026-01-13;15:31;Jazmin;34;1.9;298.0;609.0;18.9;0.0;;562.0;65.0
2026-01-13;15:31;Ciudad Bolivar;37;;;290.0;16.9;0.0;;555.0;
2026-01-13;15:31;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;15:31;Movil Fontibon;39;;;770.0;17.9;;;562.0;
2026-01-13;16:26;Usaquen;1;3.5;122.0;;16.2;0.0;;;
