Fecha;Hora;name;stationId;Humedad;Rad Solar;Vel Viento;Temperatura;Presion Baro;Temperatura 8M;Dir Viento;Lluvia
2025-11-16;03:29;Guaymaral;8;85.0;0.0;0.8;12.8;563.0;12.6;218.0;2.1
2025-11-16;03:29;Kennedy;9;90.2;0.0;1.5;;;;287.0;0.1
2025-11-16;03:29;Suba;11;;;0.9;12.6;;;231.0;0.0
2025-11-16;03:29;Puente Aranda;13;100.0;0.0;1.4;13.1;562.0;;269.0;0.0
2025-11-16;03:29;MinAmbiente;17;;;-9999.0;;;;-9999.0;0.0
2025-11-16;03:29;San Cristobal;24;89.0;0.0;0.5;11.6;;;61.0;0.0
2025-11-16;03:29;Movil 7ma;26;78.0;0.0;0.2;8.8;561.0;;302.0;0.5
2025-11-16;03:29;Bolivia;27;96.0;0.0;1.0;12.7;564.0;;254.0;0.0
2025-11-16;03:29;Fontibon;30;93.0;;3.2;12.4;563.0;;251.0;0.0
2025-11-16;03:29;Usme;32;;0.0;;12.9;561.0;;;0.0
2025-11-16;03:29;Jazmin;34;99.0;0.0;1.1;13.1;563.0;;301.0;0.0
2025-11-16;03:29;Ciudad Bolivar;37;;0.0;;12.4;556.0;;;0.0
2025-11-16;03:29;Colina;38;;53.0;0.9;14.8;562.0;;271.0;0.3
2025-11-16;03:29;Movil Fontibon;39;;1.0;;12.8;564.0;;;
2025-11-16;04:22;Usaquen;1;;;1.5;12.2;;;246.0;0.3
2025-11-16;04:22;Carvajal - Sevillana;3;;;2.2;12.5;;;35.0;0.1
2025-11-16;04:22;Tunal;4;85.0;1.0;1.8;;562.0;;286.0;0.2
2025-11-16;04:22;Centro de Alto Rendimiento;5;88.0;0.0;1.6;10.8;564.0;;283.0;0.7
2025-11-16;04:22;Las Ferias;6;83.0;;2.6;12.3;563.0;;214.0;0.7
2025-11-16;04:22;Guaymaral;8;85.0;0.0;0.6;12.7;563.0;12.5;249.0;4.2
2025-11-16;04:22;Kennedy;9;89.3;0.0;2.1;;;;294.0;0.0
2025-11-16;04:22;Suba;11;;;1.6;12.4;;;224.0;0.1
2025-11-16;04:22;Puente Aranda;13;100.0;0.0;2.2;12.5;562.0;;256.0;0.1
2025-11-16;04:22;MinAmbiente;17;;;-9999.0;;;;-9999.0;0.5
2025-11-16;04:22;San Cristobal;24;90.0;0.0;1.0;11.5;;;329.0;0.0
2025-11-16;04:22;Movil 7ma;26;78.3;0.0;1.1;9.9;561.0;;304.0;0.6
2025-11-16;04:22;Bolivia;27;95.0;0.0;1.6;12.3;564.0;;255.0;0.5
2025-11-16;04:22;Fontibon;30;93.0;;3.9;11.8;563.0;;256.0;0.3
2025-11-16;04:22;Usme;32;;0.0;;12.8;561.0;;;0.0
2025-11-16;04:22;Jazmin;34;98.0;0.0;2.0;12.6;563.0;;283.0;0.5
2025-11-16;04:22;Ciudad Bolivar;37;;0.0;;11.9;556.0;;;0.5
2025-11-16;04:22;Colina;38;;53.0;0.9;14.8;562.0;;271.0;0.3
2025-11-16;04:22;Movil Fontibon;39;;1.0;;12.2;564.0;;;
2025-11-16;05:23;Usaquen;1;;;1.1;11.5;;;168.0;0.7
2025-11-16;05:23;Carvajal - Sevillana;3;;;0.8;12.0;;;20.0;0.6
2025-11-16;05:23;Tunal;4;86.0;1.0;0.9;;563.0;;344.0;0.2
2025-11-16;05:23;Centro de Alto Rendimiento;5;87.0;0.0;0.9;10.2;564.0;;173.0;1.4
2025-11-16;05:23;Las Ferias;6;83.0;;1.3;11.6;563.0;;156.0;0.6
2025-11-16;05:23;Guaymaral;8;85.0;0.0;0.6;12.1;563.0;11.9;186.0;7.3
2025-11-16;05:23;Kennedy;9;89.2;0.0;1.0;;;;249.0;0.0
2025-11-16;05:23;Suba;11;;;0.9;11.9;;;221.0;3.2
2025-11-16;05:23;Puente Aranda;13;98.0;0.0;1.4;12.3;563.0;;194.0;0.1
2025-11-16;05:23;MinAmbiente;17;;;-9999.0;;;;-9999.0;0.2
2025-11-16;05:23;San Cristobal;24;89.0;0.0;0.9;10.7;;;67.0;0.1
2025-11-16;05:23;Movil 7ma;26;77.8;0.0;1.0;7.3;562.0;;294.0;1.3
2025-11-16;05:23;Bolivia;27;96.0;0.0;1.2;11.7;564.0;;237.0;0.9
2025-11-16;05:23;Fontibon;30;93.0;;2.3;11.6;564.0;;217.0;0.1
2025-11-16;05:23;Usme;32;;0.0;;12.3;562.0;;;0.1
2025-11-16;05:23;Jazmin;34;98.0;0.0;0.9;12.2;563.0;;174.0;0.3
2025-11-16;05:23;Ciudad Bolivar;37;;0.0;;11.5;557.0;;;0.0
2025-11-16;05:23;Colina;38;;53.0;0.9;14.8;562.0;;271.0;0.3
2025-11-16;05:23;Movil Fontibon;39;;1.0;;12.0;564.0;;;
2025-11-16;06:17;Usaquen;1;;;1.2;11.0;;;148.0;2.3
2025-11-16;06:17;Carvajal - Sevillana;3;;;0.3;12.2;;;181.0;0.1
2025-11-16;06:17;Tunal;4;87.0;2.0;1.0;;563.0;;92.0;0.1
