Fecha;Hora;name;stationId;Temperatura;Dir Viento;Humedad;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M
2025-10-25;04:20;Fontibon;30;12.6;13.0;85.0;0.6;;564.0;0.0;
2025-10-25;04:20;Usme;32;13.3;;;;0.0;562.0;0.0;
2025-10-25;04:20;Jazmin;34;13.9;301.0;86.0;1.1;0.0;563.0;0.0;
2025-10-25;04:20;Ciudad Bolivar;37;12.7;;;;0.0;557.0;0.0;
2025-10-25;04:20;Colina;38;14.8;271.0;;0.9;53.0;562.0;0.3;
2025-10-25;04:20;Movil Fontibon;39;13.3;;;;0.0;564.0;;
2025-10-25;05:21;Usaquen;1;12.8;139.0;;0.9;;;0.0;
2025-10-25;05:21;Carvajal - Sevillana;3;13.7;48.0;;1.7;;;0.0;
2025-10-25;05:21;Tunal;4;;304.0;77.0;1.5;1.0;563.0;0.0;
2025-10-25;05:21;Centro de Alto Rendimiento;5;10.3;285.0;84.0;0.3;0.0;564.0;0.0;
2025-10-25;05:21;Las Ferias;6;12.9;341.0;74.0;0.9;;564.0;0.0;
2025-10-25;05:21;Guaymaral;8;11.6;300.0;84.0;0.5;0.0;563.0;0.0;11.3
2025-10-25;05:21;Kennedy;9;;338.0;81.3;1.7;0.0;;0.0;
2025-10-25;05:21;Suba;11;11.4;21.0;;1.1;;;0.0;
2025-10-25;05:21;Puente Aranda;13;14.3;307.0;85.0;1.0;0.0;563.0;0.0;
2025-10-25;05:21;MinAmbiente;17;;-9999.0;;-9999.0;;;0.0;
2025-10-25;05:21;San Cristobal;24;11.5;108.0;79.0;1.1;0.0;;0.0;
2025-10-25;05:21;Movil 7ma;26;13.9;338.0;67.8;0.2;0.0;562.0;0.0;
2025-10-25;05:21;Bolivia;27;12.5;351.0;88.0;1.2;0.0;564.0;0.0;
2025-10-25;05:21;Fontibon;30;12.5;338.0;85.0;1.3;;564.0;0.0;
2025-10-25;05:21;Usme;32;13.3;;;;0.0;562.0;0.0;
2025-10-25;05:21;Jazmin;34;13.8;302.0;87.0;1.0;0.0;564.0;0.0;
2025-10-25;05:21;Ciudad Bolivar;37;12.5;;;;0.0;557.0;0.0;
2025-10-25;05:21;Colina;38;14.8;271.0;;0.9;53.0;562.0;0.3;
2025-10-25;05:21;Movil Fontibon;39;13.2;;;;1.0;564.0;;
2025-10-25;06:17;Usaquen;1;12.3;139.0;;0.4;;;0.0;
2025-10-25;06:17;Carvajal - Sevillana;3;13.3;48.0;;1.5;;;0.0;
2025-10-25;06:17;Tunal;4;;304.0;77.0;1.4;4.0;563.0;0.0;
2025-10-25;06:17;Centro de Alto Rendimiento;5;10.1;308.0;85.0;0.6;2.0;565.0;0.0;
2025-10-25;06:17;Las Ferias;6;12.7;284.0;75.0;0.8;;564.0;0.0;
2025-10-25;06:17;Guaymaral;8;11.5;302.0;83.0;0.5;0.0;564.0;0.0;11.3
2025-10-25;06:17;Kennedy;9;;345.0;82.5;1.3;2.0;;0.0;
2025-10-25;06:17;Suba;11;11.5;340.0;;0.5;;;0.0;
2025-10-25;06:17;Puente Aranda;13;13.4;265.0;91.0;1.3;2.0;564.0;0.0;
2025-10-25;06:17;MinAmbiente;17;;-9999.0;;-9999.0;;;0.0;
2025-10-25;06:17;San Cristobal;24;11.4;109.0;79.0;1.1;0.0;;0.0;
2025-10-25;06:17;Movil 7ma;26;13.6;336.0;69.7;0.1;1.0;562.0;0.0;
2025-10-25;06:17;Bolivia;27;12.2;324.0;90.0;1.0;3.0;565.0;0.0;
2025-10-25;06:17;Fontibon;30;12.2;354.0;87.0;1.0;;564.0;0.0;
2025-10-25;06:17;Usme;32;13.3;;;;2.0;562.0;0.0;
2025-10-25;06:17;Jazmin;34;13.3;306.0;90.0;1.2;3.0;564.0;0.0;
2025-10-25;06:17;Ciudad Bolivar;37;12.3;;;;1.0;557.0;0.0;
2025-10-25;06:17;Colina;38;14.8;271.0;;0.9;53.0;562.0;0.3;
2025-10-25;06:17;Movil Fontibon;39;13.0;;;;3.0;565.0;;
2025-10-25;07:42;Usaquen;1;12.3;18.0;;0.6;;;0.0;
2025-10-25;07:42;Carvajal - Sevillana;3;13.4;61.0;;0.9;;;0.0;
2025-10-25;07:42;Tunal;4;;294.0;78.0;1.0;59.0;564.0;0.0;
2025-10-25;07:42;Centro de Alto Rendimiento;5;10.6;309.0;85.0;0.7;49.0;565.0;0.0;
2025-10-25;07:42;Las Ferias;6;12.8;318.0;76.0;0.5;;564.0;0.0;
2025-10-25;07:42;Guaymaral;8;12.0;312.0;84.0;0.5;11.0;564.0;0.0;11.8
2025-10-25;07:42;Kennedy;9;;328.0;84.8;0.7;55.0;;0.0;
2025-10-25;07:42;Suba;11;11.4;48.0;;0.6;;;0.0;
2025-10-25;07:42;Puente Aranda;13;13.7;281.0;90.0;0.9;53.0;564.0;0.0;
2025-10-25;07:42;MinAmbiente;17;;-9999.0;;-9999.0;;;0.0;
2025-10-25;07:42;San Cristobal;24;11.9;87.0;78.0;0.6;36.0;;0.0;
2025-10-25;07:42;Movil 7ma;26;13.7;342.0;70.1;0.2;42.0;562.0;0.0;
2025-10-25;07:42;Bolivia;27;12.5;324.0;90.0;0.6;70.0;565.0;0.0;
2025-10-25;07:42;Fontibon;30;12.5;344.0;88.0;0.3;;565.0;0.0;
2025-10-25;07:42;Usme;32;13.3;;;;36.0;563.0;0.0;
