Fecha;Hora;name;stationId;Temperatura;Dir Viento;Humedad;Presion Baro;Temperatura 8M;Lluvia;Rad Solar;Vel Viento
2025-12-22;03:36;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;03:36;San Cristobal;24;11.6;104.0;76.0;;;0.0;0.0;0.6
2025-12-22;03:36;Movil 7ma;26;13.8;178.0;68.3;561.0;;0.0;0.0;0.4
2025-12-22;03:36;Bolivia;27;12.4;61.0;87.0;564.0;;0.0;0.0;1.4
2025-12-22;03:36;Fontibon;30;12.5;26.0;85.0;563.0;;0.0;;1.3
2025-12-22;03:36;Usme;32;12.0;;;561.0;;0.0;0.0;
2025-12-22;03:36;Jazmin;34;13.9;257.0;78.0;563.0;;0.0;0.0;0.9
2025-12-22;03:36;Ciudad Bolivar;37;12.8;;;556.0;;0.0;0.0;
2025-12-22;03:36;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;03:36;Movil Fontibon;39;13.1;;;563.0;;;1.0;
2025-12-22;04:34;Usaquen;1;12.6;335.0;;;;0.0;;1.0
2025-12-22;04:34;Carvajal - Sevillana;3;13.1;270.0;;;;0.0;;1.3
2025-12-22;04:34;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;04:34;Centro de Alto Rendimiento;5;12.4;321.0;90.0;563.0;;0.0;0.0;1.5
2025-12-22;04:34;Las Ferias;6;12.7;342.0;75.0;562.0;;0.0;;1.4
2025-12-22;04:34;Guaymaral;8;11.9;291.0;79.0;562.0;11.7;0.0;0.0;0.3
2025-12-22;04:34;Kennedy;9;;342.0;81.0;;;0.0;0.0;0.8
2025-12-22;04:34;Suba;11;11.4;37.0;;;;0.0;;0.6
2025-12-22;04:34;Puente Aranda;13;13.8;268.0;90.0;562.0;;0.0;0.0;0.9
2025-12-22;04:34;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;04:34;San Cristobal;24;11.5;109.0;78.0;;;0.0;0.0;0.5
2025-12-22;04:34;Movil 7ma;26;13.9;112.0;67.7;561.0;;0.0;0.0;0.2
2025-12-22;04:34;Bolivia;27;12.5;52.0;87.0;563.0;;0.0;0.0;1.3
2025-12-22;04:34;Fontibon;30;12.5;30.0;84.0;563.0;;0.0;;1.6
2025-12-22;04:34;Usme;32;11.7;;;561.0;;0.0;0.0;
2025-12-22;04:34;Jazmin;34;13.9;245.0;74.0;563.0;;0.0;0.0;1.1
2025-12-22;04:34;Ciudad Bolivar;37;12.2;;;556.0;;0.0;0.0;
2025-12-22;04:34;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;04:34;Movil Fontibon;39;13.2;;;563.0;;;1.0;
2025-12-22;05:28;Usaquen;1;12.4;316.0;;;;0.0;;0.7
2025-12-22;05:28;Carvajal - Sevillana;3;13.5;247.0;;;;0.0;;1.3
2025-12-22;05:28;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;05:28;Centro de Alto Rendimiento;5;12.2;329.0;89.0;564.0;;0.0;0.0;1.4
2025-12-22;05:28;Las Ferias;6;12.6;348.0;75.0;563.0;;0.0;;0.7
2025-12-22;05:28;Guaymaral;8;12.2;312.0;79.0;563.0;11.8;0.0;0.0;0.3
2025-12-22;05:28;Kennedy;9;;193.0;79.8;;;0.0;0.0;0.4
2025-12-22;05:28;Suba;11;11.5;52.0;;;;0.0;;0.4
2025-12-22;05:28;Puente Aranda;13;13.7;232.0;83.0;562.0;;0.0;0.0;1.2
2025-12-22;05:28;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;05:28;San Cristobal;24;11.6;102.0;79.0;;;0.0;0.0;0.6
2025-12-22;05:28;Movil 7ma;26;13.8;356.0;69.5;561.0;;0.0;0.0;0.2
2025-12-22;05:28;Bolivia;27;12.5;337.0;87.0;564.0;;0.0;0.0;0.7
2025-12-22;05:28;Fontibon;30;12.6;3.0;84.0;563.0;;0.0;;0.3
2025-12-22;05:28;Usme;32;11.9;;;561.0;;0.0;0.0;
2025-12-22;05:28;Jazmin;34;13.9;253.0;73.0;563.0;;0.0;0.0;0.9
2025-12-22;05:28;Ciudad Bolivar;37;12.5;;;556.0;;0.0;0.0;
2025-12-22;05:28;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;05:28;Movil Fontibon;39;13.3;;;564.0;;;1.0;
2025-12-22;06:22;Usaquen;1;12.4;99.0;;;;0.0;;0.6
2025-12-22;06:22;Carvajal - Sevillana;3;13.6;257.0;;;;0.0;;1.2
2025-12-22;06:22;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;06:22;Centro de Alto Rendimiento;5;12.0;356.0;88.0;564.0;;0.0;0.0;1.0
2025-12-22;06:22;Las Ferias;6;12.6;9.0;75.0;563.0;;0.0;;0.6
2025-12-22;06:22;Guaymaral;8;12.1;298.0;80.0;563.0;11.7;0.0;0.0;0.4
2025-12-22;06:22;Kennedy;9;;359.0;80.7;;;0.0;0.0;1.0
2025-12-22;06:22;Suba;11;11.5;38.0;;;;0.0;;0.4
2025-12-22;06:22;Puente Aranda;13;14.0;292.0;83.0;563.0;;0.0;1.0;0.9
2025-12-22;06:22;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;06:22;San Cristobal;24;11.5;106.0;79.0;;;0.0;0.0;1.0
2025-12-22;06:22;Movil 7ma;26;13.7;51.0;69.8;561.0;;0.0;0.0;0.2
2025-12-22;06:22;Bolivia;27;12.5;137.0;88.0;564.0;;0.0;0.0;0.7
2025-12-22;06:22;Fontibon;30;12.7;55.0;84.0;564.0;;0.0;;0.6
2025-12-22;06:22;Usme;32;12.1;;;561.0;;0.0;0.0;
2025-12-22;06:22;Jazmin;34;13.7;299.0;72.0;563.0;;0.0;0.0;0.5
2025-12-22;06:22;Ciudad Bolivar;37;12.5;;;557.0;;0.0;0.0;
2025-12-22;06:22;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;06:22;Movil Fontibon;39;13.4;;;564.0;;;1.0;
2025-12-22;07:52;Usaquen;1;12.5;43.0;;;;0.0;;0.6
2025-12-22;07:52;Carvajal - Sevillana;3;14.1;251.0;;;;0.0;;1.1
2025-12-22;07:52;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;07:52;Centro de Alto Rendimiento;5;12.4;347.0;87.0;564.0;;0.0;55.0;0.9
2025-12-22;07:52;Las Ferias;6;12.9;344.0;74.0;563.0;;0.0;;1.5
2025-12-22;07:52;Guaymaral;8;12.3;335.0;81.0;563.0;12.1;0.0;3.0;0.7
2025-12-22;07:52;Kennedy;9;;46.0;80.1;;;0.0;34.0;1.1
2025-12-22;07:52;Suba;11;11.5;26.0;;;;0.0;;1.1
2025-12-22;07:52;Puente Aranda;13;14.2;20.0;84.0;563.0;;0.0;36.0;0.9
2025-12-22;07:52;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;07:52;San Cristobal;24;11.5;111.0;79.0;;;0.0;29.0;0.4
2025-12-22;07:52;Movil 7ma;26;13.5;224.0;69.7;562.0;;0.0;30.0;0.3
2025-12-22;07:52;Bolivia;27;12.8;64.0;86.0;564.0;;0.0;52.0;1.3
2025-12-22;07:52;Fontibon;30;13.0;46.0;82.0;564.0;;0.0;;1.9
2025-12-22;07:52;Usme;32;12.2;;;562.0;;0.0;48.0;
2025-12-22;07:52;Jazmin;34;14.0;342.0;79.0;563.0;;0.0;51.0;0.5
2025-12-22;07:52;Ciudad Bolivar;37;12.8;;;557.0;;0.0;46.0;
2025-12-22;07:52;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;07:52;Movil Fontibon;39;13.5;;;564.0;;;65.0;
2025-12-22;08:37;Usaquen;1;14.5;137.0;;;;0.0;;1.5
2025-12-22;08:37;Carvajal - Sevillana;3;16.8;197.0;;;;0.0;;1.2
2025-12-22;08:37;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;08:37;Centro de Alto Rendimiento;5;16.3;358.0;69.0;565.0;;0.0;176.0;1.1
2025-12-22;08:37;Las Ferias;6;15.0;24.0;65.0;564.0;;0.0;;1.0
2025-12-22;08:37;Guaymaral;8;14.4;326.0;76.0;564.0;13.8;0.0;84.0;1.2
2025-12-22;08:37;Kennedy;9;;105.0;75.5;;;0.0;101.0;1.3
2025-12-22;08:37;Suba;11;12.8;22.0;;;;0.0;;1.9
