Fecha;Hora;name;stationId;NOX;PM25;eBC;NO;NO2;PM10;CO;BBP;OZONO;SO2
2025-12-14;04:24;Centro de Alto Rendimiento;5;123.5;18.5;12.2;113.7;9.8;44.4;1.68;7.3;-9999.0;0.7
2025-12-14;04:24;Las Ferias;6;102.8;22.0;;83.4;19.4;1.6;1.02;;0.2;
2025-12-14;04:24;Guaymaral;8;68.2;9.0;;58.8;9.4;37.0;0.71;;0.1;2.4
2025-12-14;04:24;Kennedy;9;96.9;21.4;6.3;78.1;18.8;37.7;1.39;13.0;0.3;3.0
2025-12-14;04:24;Suba;11;30.6;17.0;;21.2;9.4;34.1;0.51;;0.7;0.7
2025-12-14;04:24;Puente Aranda;13;59.6;11.2;-9999.0;43.3;16.6;11.7;0.39;0.1;0.8;2.2
2025-12-14;04:24;MinAmbiente;17;23.7;7.0;;14.5;9.2;18.0;0.54;;2.3;0.5
2025-12-14;04:24;San Cristobal;24;-9999.0;4.0;0.4;-9999.0;-9999.0;14.0;0.17;3.2;6.3;0.5
2025-12-14;04:24;Movil 7ma;26;;8.6;;;;34.9;-9999.0;;;
2025-12-14;04:24;Bolivia;27;-0.1;10.9;;0.3;-0.4;69.7;0.68;;0.3;
2025-12-14;04:24;Fontibon;30;48.9;20.0;3.7;33.4;15.6;-9999.0;0.82;12.3;1.7;-9999.0
2025-12-14;04:24;Usme;32;31.0;9.1;;19.0;12.0;86.9;0.21;;0.9;1.0
2025-12-14;04:24;Jazmin;34;64.8;9.3;;45.9;18.9;36.0;0.66;;0.1;1.5
2025-12-14;04:24;Ciudad Bolivar;37;170.3;25.2;8.3;144.7;25.6;96.0;1.53;9.8;0.8;1.8
2025-12-14;04:24;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;04:24;Movil Fontibon;39;-9999.0;20.1;;-9999.0;-9999.0;74.4;-9999.0;;;
2025-12-14;05:24;Usaquen;1;-9999.0;9.9;;-9999.0;-9999.0;35.2;-9999.0;;-9999.0;-9999.0
2025-12-14;05:24;Carvajal - Sevillana;3;;27.0;;;;85.0;1.06;;;1.9
2025-12-14;05:24;Tunal;4;30.9;0.0;2.2;22.9;8.0;70.0;-9999.0;4.4;1.1;1.1
2025-12-14;05:24;Centro de Alto Rendimiento;5;129.4;20.1;12.0;119.9;9.5;44.6;1.68;7.1;-9999.0;0.5
2025-12-14;05:24;Las Ferias;6;66.0;20.0;;52.1;13.9;1.5;0.78;;0.2;
2025-12-14;05:24;Guaymaral;8;58.2;15.0;;49.5;8.8;24.0;0.62;;0.1;2.0
2025-12-14;05:24;Kennedy;9;73.2;19.1;6.4;54.1;19.1;40.3;1.1;11.0;0.1;1.7
2025-12-14;05:24;Suba;11;47.0;17.0;;35.5;11.4;26.8;0.55;;0.6;0.8
2025-12-14;05:24;Puente Aranda;13;95.8;19.5;-9999.0;77.3;18.5;9.4;0.69;0.1;1.1;2.1
2025-12-14;05:24;MinAmbiente;17;27.9;10.0;;18.2;9.7;13.0;0.6;;1.2;0.5
2025-12-14;05:24;San Cristobal;24;-9999.0;4.0;0.4;-9999.0;-9999.0;13.0;0.19;3.0;6.2;0.4
2025-12-14;05:24;Movil 7ma;26;;7.6;;;;32.6;-9999.0;;;
2025-12-14;05:24;Bolivia;27;-0.1;11.3;;0.3;-0.4;55.7;0.57;;0.4;
2025-12-14;05:24;Fontibon;30;55.2;20.0;4.6;39.6;15.6;-9999.0;0.79;8.1;1.9;-9999.0
2025-12-14;05:24;Usme;32;38.3;14.8;;26.1;12.2;96.2;0.34;;1.1;0.9
2025-12-14;05:24;Jazmin;34;55.1;11.0;;37.1;18.0;37.2;0.55;;0.1;1.3
2025-12-14;05:24;Ciudad Bolivar;37;191.8;24.1;8.6;167.8;24.0;86.1;1.57;12.9;0.9;1.7
2025-12-14;05:24;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;05:24;Movil Fontibon;39;-9999.0;18.6;;-9999.0;-9999.0;68.7;-9999.0;;;
2025-12-14;06:19;Usaquen;1;-9999.0;9.3;;-9999.0;-9999.0;35.2;-9999.0;;-9999.0;-9999.0
2025-12-14;06:19;Carvajal - Sevillana;3;;36.0;;;;91.0;1.55;;;2.0
2025-12-14;06:19;Tunal;4;35.0;0.0;2.2;28.5;6.5;70.0;-9999.0;5.4;1.3;1.2
2025-12-14;06:19;Centro de Alto Rendimiento;5;106.6;16.4;9.7;98.2;8.4;53.5;1.37;7.7;-9999.0;0.1
2025-12-14;06:19;Las Ferias;6;43.4;20.0;;30.0;13.4;1.5;0.53;;0.2;
2025-12-14;06:19;Guaymaral;8;32.2;12.0;;22.2;10.0;26.0;0.33;;0.2;1.4
2025-12-14;06:19;Kennedy;9;94.3;22.8;6.8;75.6;18.8;42.2;1.38;8.1;0.2;1.4
2025-12-14;06:19;Suba;11;42.1;17.0;;32.3;9.8;36.2;0.47;;0.6;0.6
2025-12-14;06:19;Puente Aranda;13;138.5;14.2;-9999.0;118.2;20.9;37.9;1.09;0.1;1.0;1.9
2025-12-14;06:19;MinAmbiente;17;27.5;11.0;;18.2;9.4;18.0;0.67;;1.0;0.6
2025-12-14;06:19;San Cristobal;24;-9999.0;2.0;0.5;-9999.0;-9999.0;12.0;0.26;3.0;4.6;0.4
2025-12-14;06:19;Movil 7ma;26;;9.2;;;;31.9;-9999.0;;;
2025-12-14;06:19;Bolivia;27;-0.1;17.8;;0.3;-0.4;49.7;0.5;;0.4;
2025-12-14;06:19;Fontibon;30;50.9;16.0;4.0;35.8;15.1;-9999.0;0.79;6.1;1.9;-9999.0
2025-12-14;06:19;Usme;32;47.2;12.3;;34.4;12.8;78.4;0.38;;0.9;1.0
2025-12-14;06:19;Jazmin;34;75.3;19.0;;58.0;17.3;32.4;0.8;;0.1;1.0
2025-12-14;06:19;Ciudad Bolivar;37;119.4;28.3;5.9;94.0;25.3;81.2;0.81;9.4;0.8;1.9
2025-12-14;06:19;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;06:19;Movil Fontibon;39;-9999.0;22.0;;-9999.0;-9999.0;57.8;-9999.0;;;
2025-12-14;07:48;Usaquen;1;-9999.0;9.8;;-9999.0;-9999.0;35.1;-9999.0;;-9999.0;-9999.0
2025-12-14;07:48;Carvajal - Sevillana;3;;30.0;;;;89.0;1.48;;;2.9
2025-12-14;07:48;Tunal;4;37.4;0.0;3.0;31.2;6.2;53.0;-9999.0;6.7;1.8;1.7
2025-12-14;07:48;Centro de Alto Rendimiento;5;116.3;27.8;12.0;107.5;8.7;43.9;1.51;9.0;-9999.0;0.0
2025-12-14;07:48;Las Ferias;6;52.9;15.0;;40.2;12.7;1.4;0.67;;0.8;
2025-12-14;07:48;Guaymaral;8;44.0;9.0;;33.6;10.4;19.0;0.35;;0.7;1.4
2025-12-14;07:48;Kennedy;9;72.8;21.4;5.9;55.6;17.2;36.0;1.12;12.6;0.3;1.4
2025-12-14;07:48;Suba;11;29.0;12.0;;20.2;8.9;26.2;0.42;;1.0;0.5
2025-12-14;07:48;Puente Aranda;13;175.5;11.0;-9999.0;155.2;21.1;40.8;1.72;0.1;1.1;2.3
2025-12-14;07:48;MinAmbiente;17;37.4;10.0;;28.3;9.1;18.0;0.93;;1.5;0.6
2025-12-14;07:48;San Cristobal;24;-9999.0;0.0;0.9;-9999.0;-9999.0;16.0;0.45;1.7;2.6;0.6
2025-12-14;07:48;Movil 7ma;26;;7.8;;;;56.4;-9999.0;;;
2025-12-14;07:48;Bolivia;27;-0.1;15.4;;0.3;-0.4;45.0;0.62;;0.7;
2025-12-14;07:48;Fontibon;30;82.5;25.0;6.2;58.3;24.2;-9999.0;1.13;7.5;2.5;-9999.0
2025-12-14;07:48;Usme;32;39.8;17.7;;28.3;11.5;78.0;0.44;;2.0;1.7
2025-12-14;07:48;Jazmin;34;136.1;13.9;;115.8;20.3;39.9;1.52;;0.2;1.3
2025-12-14;07:48;Ciudad Bolivar;37;108.1;21.1;6.3;81.9;26.1;83.1;0.73;6.3;1.0;2.9
