Fecha;Hora;name;stationId;NOX;OZONO;BBP;PM10;PM25;NO2;CO;eBC;SO2;NO
2026-01-08;11:36;Kennedy;9;28.7;19.2;-9999.0;23.3;9.8;14.7;0.86;-9999.0;0.5;14.0
2026-01-08;11:36;Suba;11;10.4;14.5;;24.6;10.0;5.9;0.26;;0.9;4.5
2026-01-08;11:36;Puente Aranda;13;20.7;13.8;5.2;-9999.0;8.8;13.1;0.11;1.7;1.3;7.6
2026-01-08;11:36;MinAmbiente;17;10.7;20.4;;12.0;5.0;6.6;0.3;;0.6;4.1
2026-01-08;11:36;San Cristobal;24;1.5;19.7;4.8;18.0;6.0;0.1;0.23;0.7;1.2;1.4
2026-01-08;11:36;Movil 7ma;26;;;;6.3;11.6;;-9999.0;;;
2026-01-08;11:36;Bolivia;27;-9999.0;-9999.0;;20.7;5.5;-9999.0;-9999.0;;;-9999.0
2026-01-08;11:36;Fontibon;30;16.9;15.4;10.6;17.1;11.0;11.1;0.5;1.7;1.1;5.8
2026-01-08;11:36;Usme;32;13.2;25.6;;30.5;6.7;7.1;0.24;;1.1;6.1
2026-01-08;11:36;Jazmin;34;9.8;20.5;;13.5;8.1;6.6;0.22;;0.4;3.2
2026-01-08;11:36;Ciudad Bolivar;37;20.5;23.4;-9999.0;11.1;2.4;9.6;0.36;-9999.0;1.0;10.9
2026-01-08;11:36;Colina;38;7.5;14.8;;0.0;0.0;5.8;0.35;;0.8;1.8
2026-01-08;11:36;Movil Fontibon;39;-9999.0;;;31.7;5.0;-9999.0;-9999.0;;;-9999.0
2026-01-08;12:31;Usaquen;1;-9999;-9999;;31.8;9.6;-9999;-9999;;-9999;-9999
2026-01-08;12:31;Carvajal - Sevillana;3;;;;55;27;;1.03;;1.5;
2026-01-08;12:31;Tunal;4;43.4;18.7;4.5;23;6;5.1;-9999;3.5;-0.1;38.2
2026-01-08;12:31;Centro de Alto Rendimiento;5;7.6;-9999;11.2;5.8;2.5;5.6;0.17;1.2;0.9;1.9
2026-01-08;12:31;Las Ferias;6;9.5;24.3;;13.2;8;4.9;0.18;;;4.6
2026-01-08;12:31;Guaymaral;8;7.8;25.9;;21;11;5.3;0.29;;0.2;2.4
2026-01-08;12:31;Kennedy;9;20.4;23.6;-9999;26.2;20.6;10.5;0.75;-9999;0.5;9.8
2026-01-08;12:31;Suba;11;9.3;16;;31.1;8;5.3;0.29;;0.9;3.9
2026-01-08;12:31;Puente Aranda;13;19.3;14;7.7;-9999;7.2;12;0.09;1.4;1.2;7.3
2026-01-08;12:31;MinAmbiente;17;9.1;22.2;;9;3;5.9;0.28;;0.7;3.1
2026-01-08;12:31;San Cristobal;24;1.5;20.8;30.3;14;985;0.1;0.2;0.4;1.3;1.4
2026-01-08;12:31;Movil 7ma;26;;;;5;12.6;;-9999;;;
2026-01-08;12:31;Bolivia;27;-9999;-9999;;14.6;4.3;-9999;-9999;;;-9999
2026-01-08;12:31;Fontibon;30;14.1;18.4;10.7;26;11;9.8;0.47;1.8;1.1;4.2
2026-01-08;12:31;Usme;32;6.1;27.9;;15.6;6.2;3.6;0.16;;1.5;2.4
