Fecha;Hora;name;stationId;Humedad;Temperatura 8M;Dir Viento;Lluvia;Temperatura;Presion Baro;Rad Solar;Vel Viento
2025-11-08;04:21;Ciudad Bolivar;37;;;;0.0;10.8;556.0;0.0;
2025-11-08;04:21;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;04:21;Movil Fontibon;39;;;;;11.5;563.0;0.0;
2025-11-08;05:22;Usaquen;1;;;57.0;0.0;9.3;;;0.5
2025-11-08;05:22;Carvajal - Sevillana;3;;;249.0;0.0;10.6;;;1.2
2025-11-08;05:22;Tunal;4;76.0;;227.0;0.0;;562.0;1.0;0.5
2025-11-08;05:22;Centro de Alto Rendimiento;5;87.0;;327.0;0.0;6.7;564.0;0.0;0.3
2025-11-08;05:22;Las Ferias;6;82.0;;310.0;0.0;9.7;563.0;;0.4
2025-11-08;05:22;Guaymaral;8;85.0;7.0;330.0;0.0;6.6;563.0;0.0;0.4
2025-11-08;05:22;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;05:22;Suba;11;;;31.0;0.0;8.3;;;0.8
2025-11-08;05:22;Puente Aranda;13;89.0;;308.0;0.0;12.3;562.0;0.0;0.8
2025-11-08;05:22;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;05:22;San Cristobal;24;78.0;;111.0;0.0;8.9;;0.0;1.3
2025-11-08;05:22;Movil 7ma;26;64.8;;166.0;0.0;9.2;561.0;0.0;0.9
2025-11-08;05:22;Bolivia;27;93.0;;298.0;0.0;9.5;564.0;0.0;0.4
2025-11-08;05:22;Fontibon;30;91.0;;18.0;0.0;10.0;563.0;;0.5
2025-11-08;05:22;Usme;32;;;;0.0;10.5;561.0;0.0;
2025-11-08;05:22;Jazmin;34;87.0;;293.0;0.0;11.1;563.0;0.0;0.6
2025-11-08;05:22;Ciudad Bolivar;37;;;;0.0;9.8;556.0;0.0;
2025-11-08;05:22;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;05:22;Movil Fontibon;39;;;;;11.1;564.0;0.0;
2025-11-08;06:17;Usaquen;1;;;44.0;0.0;9.3;;;0.6
2025-11-08;06:17;Carvajal - Sevillana;3;;;326.0;0.0;9.9;;;0.1
2025-11-08;06:17;Tunal;4;81.0;;210.0;0.0;;562.0;4.0;0.5
2025-11-08;06:17;Centro de Alto Rendimiento;5;88.0;;58.0;0.0;6.6;564.0;3.0;0.4
2025-11-08;06:17;Las Ferias;6;81.0;;359.0;0.0;9.8;563.0;;1.7
2025-11-08;06:17;Guaymaral;8;85.0;7.0;339.0;0.0;6.6;563.0;0.0;0.5
2025-11-08;06:17;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;06:17;Suba;11;;;37.0;0.0;8.1;;;1.5
2025-11-08;06:17;Puente Aranda;13;93.0;;250.0;0.0;11.7;563.0;2.0;1.0
2025-11-08;06:17;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;06:17;San Cristobal;24;79.0;;109.0;0.0;8.4;;1.0;1.5
2025-11-08;06:17;Movil 7ma;26;67.3;;188.0;0.0;8.0;561.0;1.0;0.7
2025-11-08;06:17;Bolivia;27;93.0;;40.0;0.0;9.2;564.0;4.0;1.1
2025-11-08;06:17;Fontibon;30;91.0;;42.0;0.0;10.0;564.0;;1.5
2025-11-08;06:17;Usme;32;;;;0.0;9.1;561.0;3.0;
2025-11-08;06:17;Jazmin;34;86.0;;287.0;0.0;10.4;563.0;3.0;0.3
2025-11-08;06:17;Ciudad Bolivar;37;;;;0.0;9.6;557.0;1.0;
2025-11-08;06:17;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;06:17;Movil Fontibon;39;;;;;11.0;564.0;4.0;
2025-11-08;07:42;Usaquen;1;;;12.0;0.0;10.0;;;0.5
2025-11-08;07:42;Carvajal - Sevillana;3;;;259.0;0.0;12.1;;;1.2
2025-11-08;07:42;Tunal;4;79.0;;217.0;0.0;;563.0;114.0;0.6
2025-11-08;07:42;Centro de Alto Rendimiento;5;88.0;;319.0;0.0;8.4;565.0;69.0;0.3
2025-11-08;07:42;Las Ferias;6;70.0;;3.0;0.0;12.7;564.0;;2.1
2025-11-08;07:42;Guaymaral;8;87.0;9.7;319.0;0.0;9.0;563.0;47.0;0.9
2025-11-08;07:42;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;07:42;Suba;11;;;29.0;0.0;8.9;;;1.6
2025-11-08;07:42;Puente Aranda;13;86.0;;357.0;0.0;12.9;563.0;81.0;0.8
2025-11-08;07:42;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;07:42;San Cristobal;24;78.0;;111.0;0.0;9.2;;24.0;1.0
2025-11-08;07:42;Movil 7ma;26;67.7;;200.0;0.0;7.1;562.0;20.0;0.2
2025-11-08;07:42;Bolivia;27;87.0;;76.0;0.1;11.0;564.0;139.0;1.6
2025-11-08;07:42;Fontibon;30;87.0;;53.0;0.0;11.7;564.0;;1.2
2025-11-08;07:42;Usme;32;;;;0.0;10.0;562.0;94.0;
2025-11-08;07:42;Jazmin;34;82.0;;233.0;0.0;12.4;564.0;128.0;0.5
2025-11-08;07:42;Ciudad Bolivar;37;;;;0.0;11.4;557.0;104.0;
2025-11-08;07:42;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;07:42;Movil Fontibon;39;;;;;11.4;564.0;120.0;
2025-11-08;08:26;Usaquen;1;;;16.0;0.0;14.6;;;1.0
2025-11-08;08:26;Carvajal - Sevillana;3;;;158.0;0.0;16.4;;;0.9
2025-11-08;08:26;Tunal;4;60.0;;302.0;0.0;;563.0;357.0;0.9
2025-11-08;08:26;Centro de Alto Rendimiento;5;82.0;;302.0;0.0;13.2;565.0;307.0;0.4
2025-11-08;08:26;Las Ferias;6;59.0;;13.0;0.0;15.4;564.0;;2.0
2025-11-08;08:26;Guaymaral;8;83.0;15.6;321.0;0.0;16.4;564.0;244.0;0.7
2025-11-08;08:26;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;08:26;Suba;11;;;43.0;0.0;12.3;;;1.4
2025-11-08;08:26;Puente Aranda;13;75.0;;83.0;0.0;14.7;564.0;210.0;0.9
2025-11-08;08:26;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;08:26;San Cristobal;24;73.0;;100.0;0.0;11.5;;95.0;0.5
2025-11-08;08:26;Movil 7ma;26;65.2;;281.0;0.0;2.8;562.0;250.0;0.8
2025-11-08;08:26;Bolivia;27;80.0;;72.0;0.0;13.1;565.0;393.0;1.7
2025-11-08;08:26;Fontibon;30;71.0;;57.0;0.0;14.4;565.0;;1.7
2025-11-08;08:26;Usme;32;;;;0.0;13.5;562.0;191.0;
2025-11-08;08:26;Jazmin;34;73.0;;292.0;0.0;14.5;564.0;390.0;0.6
2025-11-08;08:26;Ciudad Bolivar;37;;;;0.0;13.9;558.0;325.0;
2025-11-08;08:26;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;08:26;Movil Fontibon;39;;;;;13.7;565.0;382.0;
2025-11-08;09:19;Usaquen;1;;;340.0;0.0;17.5;;;1.5
2025-11-08;09:19;Carvajal - Sevillana;3;;;206.0;0.0;18.9;;;1.1
2025-11-08;09:19;Tunal;4;51.0;;194.0;0.0;;563.0;651.0;1.2
2025-11-08;09:19;Centro de Alto Rendimiento;5;51.0;;304.0;0.0;17.9;565.0;511.0;0.2
2025-11-08;09:19;Las Ferias;6;48.0;;347.0;0.0;19.1;564.0;;1.1
2025-11-08;09:19;Guaymaral;8;61.0;17.7;322.0;0.0;19.2;564.0;446.0;1.1
2025-11-08;09:19;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;09:19;Suba;11;;;21.0;0.0;16.0;;;1.7
2025-11-08;09:19;Puente Aranda;13;64.0;;286.0;0.0;16.7;564.0;439.0;1.1
2025-11-08;09:19;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;09:19;San Cristobal;24;61.0;;29.0;0.0;15.3;;202.0;0.9
2025-11-08;09:19;Movil 7ma;26;46.5;;264.0;0.0;-0.2;562.0;619.0;0.6
2025-11-08;09:19;Bolivia;27;70.0;;59.0;0.0;15.4;565.0;633.0;1.9
2025-11-08;09:19;Fontibon;30;54.0;;53.0;0.0;17.8;565.0;;1.1
2025-11-08;09:19;Usme;32;;;;0.0;15.9;562.0;468.0;
2025-11-08;09:19;Jazmin;34;58.0;;300.0;0.0;16.8;564.0;669.0;0.8
2025-11-08;09:19;Ciudad Bolivar;37;;;;0.0;16.4;558.0;542.0;
2025-11-08;09:19;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;09:19;Movil Fontibon;39;;;;;16.4;565.0;639.0;
2025-11-08;10:21;Usaquen;1;;;327.0;0.0;17.7;;;2.0
2025-11-08;10:21;Carvajal - Sevillana;3;;;234.0;0.0;21.0;;;1.9
2025-11-08;10:21;Tunal;4;46.0;;208.0;0.0;;563.0;391.0;1.6
2025-11-08;10:21;Centro de Alto Rendimiento;5;43.0;;340.0;0.0;19.7;565.0;615.0;0.7
2025-11-08;10:21;Las Ferias;6;44.0;;306.0;0.0;20.2;564.0;;0.9
2025-11-08;10:21;Guaymaral;8;48.0;19.7;336.0;0.0;21.0;564.0;614.0;1.4
