Fecha;Hora;name;stationId;Humedad;Dir Viento;Temperatura 8M;Lluvia;Presion Baro;Vel Viento;Rad Solar;Temperatura
2025-11-27;04:27;Kennedy;9;77.4;85.0;;0.0;;0.8;0.0;
2025-11-27;04:27;Suba;11;;75.0;;0.0;;1.6;;11.9
2025-11-27;04:27;Puente Aranda;13;83.0;281.0;;0.0;563.0;1.5;0.0;14.2
2025-11-27;04:27;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;04:27;San Cristobal;24;75.0;100.0;;0.0;;1.2;0.0;12.0
2025-11-27;04:27;Movil 7ma;26;58.9;18.0;;0.0;561.0;0.1;0.0;14.0
2025-11-27;04:27;Bolivia;27;84.0;96.0;;0.0;564.0;2.1;0.0;13.1
2025-11-27;04:27;Fontibon;30;81.0;63.0;;0.0;563.0;4.0;;12.9
2025-11-27;04:27;Usme;32;;;;0.0;561.0;;0.0;13.3
2025-11-27;04:27;Jazmin;34;83.0;298.0;;0.0;563.0;1.0;0.0;13.8
2025-11-27;04:27;Ciudad Bolivar;37;;;;0.0;556.0;;0.0;12.9
2025-11-27;04:27;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;04:27;Movil Fontibon;39;;;;;564.0;;0.0;13.7
2025-11-27;05:27;Usaquen;1;;18.0;;0.0;;1.4;;11.6
2025-11-27;05:27;Carvajal - Sevillana;3;;226.0;;0.0;;1.6;;13.1
2025-11-27;05:27;Tunal;4;78.0;192.0;;0.0;562.0;0.9;1.0;
2025-11-27;05:27;Centro de Alto Rendimiento;5;73.0;60.0;;0.0;564.0;2.6;0.0;12.9
2025-11-27;05:27;Las Ferias;6;68.0;352.0;;0.0;563.0;2.0;;12.5
2025-11-27;05:27;Guaymaral;8;78.0;166.0;10.8;0.0;563.0;0.7;0.0;10.8
2025-11-27;05:27;Kennedy;9;78.3;147.0;;0.0;;0.7;0.0;
2025-11-27;05:27;Suba;11;;58.0;;0.0;;1.2;;11.3
2025-11-27;05:27;Puente Aranda;13;77.0;31.0;;0.0;563.0;1.1;0.0;13.9
2025-11-27;05:27;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;05:27;San Cristobal;24;78.0;110.0;;0.0;;0.4;0.0;11.0
2025-11-27;05:27;Movil 7ma;26;61.3;134.0;;0.0;561.0;0.8;0.0;13.3
2025-11-27;05:27;Bolivia;27;82.0;86.0;;0.0;564.0;1.8;0.0;12.7
2025-11-27;05:27;Fontibon;30;74.0;65.0;;0.0;564.0;3.9;;12.9
2025-11-27;05:27;Usme;32;;;;0.0;561.0;;0.0;12.7
2025-11-27;05:27;Jazmin;34;83.0;278.0;;0.0;563.0;0.7;0.0;13.2
2025-11-27;05:27;Ciudad Bolivar;37;;;;0.0;556.0;;0.0;12.9
2025-11-27;05:27;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;05:27;Movil Fontibon;39;;;;;564.0;;0.0;13.6
2025-11-27;06:21;Usaquen;1;;267.0;;0.0;;0.6;;11.2
2025-11-27;06:21;Carvajal - Sevillana;3;;179.0;;0.0;;1.8;;13.0
