Fecha;Hora;name;stationId;Vel Viento;Temperatura 8M;Dir Viento;Lluvia;Humedad;Rad Solar;Temperatura;Presion Baro
2025-12-25;05:27;Ciudad Bolivar;37;;;;0.0;;0.0;12.0;556.0
2025-12-25;05:27;Colina;38;0.9;;271.0;0.3;;53.0;14.8;562.0
2025-12-25;05:27;Movil Fontibon;39;;;;;;0.0;12.8;564.0
2025-12-25;06:22;Usaquen;1;0.5;;45.0;0.0;;;11.2;
2025-12-25;06:22;Carvajal - Sevillana;3;1.1;;51.0;0.0;;;12.9;
2025-12-25;06:22;Tunal;4;1.0;;187.0;0.0;64.0;0.0;;563.0
2025-12-25;06:22;Centro de Alto Rendimiento;5;1.1;;309.0;0.0;87.0;0.0;10.5;564.0
2025-12-25;06:22;Las Ferias;6;0.7;;330.0;0.0;77.0;;11.4;563.0
2025-12-25;06:22;Guaymaral;8;0.6;9.5;290.0;0.0;82.0;0.0;9.5;563.0
2025-12-25;06:22;Kennedy;9;0.9;;354.0;0.0;82.5;0.0;;
2025-12-25;06:22;Suba;11;0.9;;31.0;0.0;;;9.9;
2025-12-25;06:22;Puente Aranda;13;0.8;;280.0;0.0;87.0;0.0;13.2;563.0
2025-12-25;06:22;MinAmbiente;17;-9999.0;;-9999.0;0.0;;;;
2025-12-25;06:22;San Cristobal;24;0.2;;283.0;0.0;84.0;0.0;11.7;
2025-12-25;06:22;Movil 7ma;26;0.4;;80.0;0.0;69.8;0.0;13.1;561.0
2025-12-25;06:22;Bolivia;27;1.3;;58.0;0.0;85.0;1.0;11.7;564.0
2025-12-25;06:22;Fontibon;30;1.3;;18.0;0.0;86.0;;11.6;564.0
2025-12-25;06:22;Usme;32;;;;0.0;;1.0;12.8;561.0
2025-12-25;06:22;Jazmin;34;1.0;;297.0;0.0;90.0;0.0;12.8;563.0
2025-12-25;06:22;Ciudad Bolivar;37;;;;0.0;;0.0;11.8;557.0
2025-12-25;06:22;Colina;38;0.9;;271.0;0.3;;53.0;14.8;562.0
2025-12-25;06:22;Movil Fontibon;39;;;;;;0.0;12.5;564.0
2025-12-25;07:51;Usaquen;1;0.7;;69.0;0.0;;;10.6;
2025-12-25;07:51;Carvajal - Sevillana;3;0.9;;63.0;0.0;;;12.8;
2025-12-25;07:51;Tunal;4;1.0;;187.0;0.0;64.0;0.0;;563.0
2025-12-25;07:51;Centro de Alto Rendimiento;5;1.2;;274.0;0.0;88.0;52.0;10.8;565.0
2025-12-25;07:51;Las Ferias;6;1.0;;359.0;0.0;77.0;;11.3;563.0
2025-12-25;07:51;Guaymaral;8;0.4;10.4;261.0;0.0;84.0;19.0;10.2;563.0
2025-12-25;07:51;Kennedy;9;0.7;;6.0;0.0;83.6;37.0;;
2025-12-25;07:51;Suba;11;0.8;;59.0;0.0;;;9.6;
2025-12-25;07:51;Puente Aranda;13;0.9;;281.0;0.0;88.0;47.0;12.9;563.0
2025-12-25;07:51;MinAmbiente;17;-9999.0;;-9999.0;0.0;;;;
2025-12-25;07:51;San Cristobal;24;0.2;;282.0;0.0;84.0;26.0;11.7;
2025-12-25;07:51;Movil 7ma;26;0.2;;80.0;0.0;70.5;26.0;12.7;562.0
2025-12-25;07:51;Bolivia;27;1.3;;350.0;0.0;85.0;78.0;11.4;564.0
2025-12-25;07:51;Fontibon;30;2.0;;43.0;0.0;83.0;;11.8;564.0
2025-12-25;07:51;Usme;32;;;;0.0;;34.0;12.9;562.0
2025-12-25;07:51;Jazmin;34;0.6;;302.0;0.0;89.0;53.0;12.8;564.0
2025-12-25;07:51;Ciudad Bolivar;37;;;;0.0;;32.0;11.9;557.0
2025-12-25;07:51;Colina;38;0.9;;271.0;0.3;;53.0;14.8;562.0
2025-12-25;07:51;Movil Fontibon;39;;;;;;51.0;12.4;564.0
2025-12-25;08:35;Usaquen;1;0.5;;66;0;;;13.8;
2025-12-25;08:35;Carvajal - Sevillana;3;0.9;;73;0;;;14.7;
2025-12-25;08:35;Tunal;4;1;;187;0;64;0;;563
2025-12-25;08:35;Centro de Alto Rendimiento;5;1.8;;32;0;68;177;15.9;565
2025-12-25;08:35;Las Ferias;6;2.2;;0;0;67;;13.5;564
2025-12-25;08:35;Guaymaral;8;0.8;15.7;314;0;74;188;16.6;564
2025-12-25;08:35;Kennedy;9;1.1;;2;0;82.9;124;;
2025-12-25;08:35;Suba;11;1.7;;26;0;;;12.2;
2025-12-25;08:35;Puente Aranda;13;1.1;;7;0;82;169;14.2;564
2025-12-25;08:35;MinAmbiente;17;-9999;;-9999;0;;;;
2025-12-25;08:35;San Cristobal;24;0.4;;323;0;77;102;13.2;
2025-12-25;08:35;Movil 7ma;26;0.3;;205;0;67.3;186;14.3;562
2025-12-25;08:35;Bolivia;27;2;;63;0;79;234;12.7;565
2025-12-25;08:35;Fontibon;30;2.2;;62;0;74;;13.6;564
2025-12-25;08:35;Usme;32;;;;0;;124;13.9;562
2025-12-25;08:35;Jazmin;34;0.8;;335;0;82;212;14.1;564
2025-12-25;08:35;Ciudad Bolivar;37;;;;0;;123;12.8;557
2025-12-25;08:35;Colina;38;0.9;;271;0.3;;53;14.8;562
2025-12-25;08:35;Movil Fontibon;39;;;;;;239;13.3;565
